,0
402,SMC1A
403,TFPI2
404,ZNF155
405,GBP1
406,TSHZ2
407,ZNF347
408,SP100
409,EMP1
410,NRIP1
411,CCR5
412,SYNC
413,ZNF765
414,CPED1
415,HEYL
416,MAP3K19
417,SLC6A6
418,ANKEF1
419,LYZ
420,PLA2R1
421,FLNA
422,ZNF816
423,GRB14
424,TNFRSF10C
425,ZBED6CL
426,BTN2A2
427,STEAP1B
428,CFH
429,PLBD1
430,IL1RN
431,CCNJL
432,OPN3
433,BICC1
434,ITGA2
435,NFATC2
436,IGF2BP2
437,KLHL4
438,KLF11
439,SIRPB2
440,FSTL1
441,ITGBL1
442,ESM1
443,STX11
444,GINS4
445,TRAC
446,TNFRSF10D
447,MCM10
448,CD101
449,CA12
450,EFCAB12
451,MARVELD1
452,DOCK2
453,ALX4
454,NTSR1
455,NFKBIZ
456,SMAGP
457,PTX3
458,TRIM14
459,POSTN
460,CD97
461,CHRNA1
462,TTK
463,MB21D1
464,LCP2
465,ANO1
466,CEP135
467,NRP1
468,HOXB3
469,NOD1
470,DNM1P46
471,FAM83G
472,C6orf118
473,CD8A
474,MYB
475,MYH9
476,PCDH18
477,ARAP3
478,ANXA2
479,CDC42BPG
480,EMR2
481,RAB42
482,FBXO17
483,LEPREL1
484,ITPRIPL2
485,CMTM1
486,RUNX1
487,GNG12
488,CPA4
489,FBLN7
490,IL18R1
491,NCAPH
492,C9orf64
493,COL15A1
494,CREB3L2
495,FAM111B
496,HK2
497,LIPG
498,PSTPIP2
499,LAMC1
500,XRCC2
501,ITGA5
502,BTN2A3P
503,NNMT
504,WNT16
505,E2F2
506,P2RY1
507,IRAK1
508,CLIC1
509,PTGER4
510,PLEKHG4
511,COL13A1
512,SLC47A2
513,COL6A3
514,FAM114A1
515,PDZK1IP1
516,KIF20A
517,TRAM1
518,SPOCD1
519,SIT1
520,PBK
521,LILRA1
522,MAN1C1
523,CAPN5
524,TBX21
525,STAC
526,SLFN12
527,PARP9
528,EVC2
529,FZD7
530,REST
531,GCH1
532,ANO6
533,SLC26A2
534,SULF1
535,MACC1
536,ZNF474
537,CENPL
538,LINC01057
539,ITGA11
540,PDIA4
541,IL10
542,GPX8
543,PROM1
544,TMEM194A
545,NCAPG
546,IGF2BP3
547,CD302
548,B3GNT5
549,GTSE1
550,SPRED2
551,FAM126A
552,ZIK1
553,PRSS23
554,PTRF
555,SLC12A7
556,MASTL
557,CLDN1
558,DUSP16
559,FCHSD1
560,GALNT12
561,ENPP1
562,ZC3HAV1L
563,FREM2
564,GPC3
565,YY2
566,STRA6
567,ARMC3
568,AURKB
569,SLC25A24
570,CD28
571,TUBB6
572,HERC5
573,KIF15
574,BDNF
575,FBXO43
576,SLC38A4
577,TGIF1
578,ANGPT1
579,ARL9
580,FHAD1
581,VWA3B
582,TNC
583,SPC25
584,MCAM
585,WISP1
586,SLC47A1
587,MCM2
588,LOXL4
589,SP6
590,NR2F2
591,VANGL1
592,BIRC3
593,EN1
594,SLITRK2
595,HOTAIRM1
596,ACPP
597,ADAMTS1
598,GSG2
599,SVIL
600,TMEM64
601,CHST6
602,TGFBI
603,ZNF525
604,TMEM233
605,MYO1E
606,SNAI1
607,COL1A2
608,DTX3L
609,TBX3
610,TIGIT
611,SCN9A
612,SLC1A5
613,CDK6
614,P4HA2
615,AURKA
616,NSUN7
617,SALL3
618,TRAM2
619,CAV1
620,THBD
621,VEGFA
622,BICD1
623,DTL
624,SLC27A6
625,IL15
626,DDIT4L
627,FZD10
628,CD244
629,ZNF595
630,CD69
631,ROR1
632,CENPE
633,ARL4C
634,GJB2
635,ADAMTS14
636,OAS2
637,HPSE
638,SP140L
639,MECOM
640,C16orf54
641,IL1R1
642,RAVER1
643,LRRK2
644,METTL7B
645,CYSLTR2
646,CASC5
647,MCM8
648,ARHGEF34P
649,PLA2G4A
650,KIF11
651,ZDHHC23
652,VASP
653,GALNT2
654,PLP2
655,FMOD
656,CD3G
657,PI4K2B
658,RHOH
659,ZNF618
660,FOXF1
661,CAV2
662,SKA3
663,CUBN
664,ASPN
665,SLC10A3
666,CHODL
667,PHEX
668,TMEM200A
669,ASF1B
670,DNAH9
671,CHSY1
672,RBMS1
673,CD84
674,MAPKAPK2
675,ABCA12
676,ABCA13
677,SRPX2
678,EMILIN2
679,OS9
680,BMP6
681,PPFIBP1
682,FZD6
683,C20orf26
684,SIMC1
685,TROAP
686,LPIN3
687,BTBD19
688,ESCO2
689,TGM5
690,CD226
691,BANK1
692,FAM43A
693,PLIN3
694,HABP2
695,FLNC
696,CDC42EP3
697,ADAM17
698,NDC80
699,CLIC6
700,ITK
701,SPON2
702,CENPV
703,TPX2
704,FAM86B3P
705,FOSL2
706,RDH10
707,RGS22
708,KIAA0226L
709,SURF4
710,SEC24D
711,C2orf50
712,LOXL2
713,TEAD3
714,PARP14
715,SLC18A1
716,COL5A2
717,CDCA4
718,FNDC1
719,RSPH4A
720,FAM83D
721,ITPR3
722,BMS1P18
723,EHD4
724,LECT1
725,CD93
726,CDK4
727,PCOLCE2
728,MEST
729,HCAR1
730,ZWINT
731,B3GNT7
732,TUBB
733,HS3ST3A1
734,TRIP13
735,LBH
736,MYOF
737,ESPL1
738,AGBL2
739,PLEKHG1
740,SPRY2
741,MBNL3
742,WWTR1
743,ST8SIA5
744,TGFB2
745,FAM20A
746,RCC2
747,PIK3R5
748,KIFC1
749,AJUBA
750,PARP15
751,TEX26
752,TMEM154
753,CHST2
754,LTBP2
755,EPHB2
756,CXCL10
757,ERCC6L
758,TNFAIP8
759,TBX18
760,FAM46B
761,CD109
762,ALPK1
763,PPIP5K2
764,EFCAB10
765,BMP8B
766,MYLK
767,NOS2
768,SERPINA3
769,C5AR1
770,CD36
771,SPATA18
772,CLCF1
773,CNGA3
774,CABP4
775,CD48
776,ST8SIA4
777,PYGL
778,EPHA3
779,DUSP6
780,LINC00884
781,CR1
782,MEGF10
783,ZIC4
784,SLC16A12
785,AGPAT9
786,MSN
787,ITPRIP
788,TSPAN18
789,SERPINE1
790,PRR11
791,C1S
792,DCBLD2
793,KCNE4
794,CD200R1
795,BUB1B
796,OLFML2A
797,PLAU
798,LZTS1
799,RHPN2
800,C1RL
801,COL11A1
802,APOBEC3D
803,C8orf34
804,GDF6
805,HSPB6
806,CECR1
807,MMRN1
808,C1orf111
809,CHL1
810,ST14
811,IQGAP1
812,WFIKKN2
813,CHI3L1
814,DRAXIN
815,ZNF217
816,KIF2C
817,ABCA5
818,NDE1
819,FAM46C
820,GSAP
821,DEPDC1
822,PKIB
823,SH2B3
824,AVIL
825,C9orf171
826,GCNT1
827,DACT1
828,VGLL3
829,SMG8
830,CCDC19
831,SEMA3C
832,SLC11A1
833,C9orf117
834,CDH11
835,PDPN
836,SIRPB1
837,FANCI
838,IL7
839,NR2E1
840,C7orf57
841,KDELC2
842,KIF4A
843,KCNE3
844,PTBP3
845,NID1
