,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.828838572647198,1.556281804667154,2.1491291068056726,2.2733716268039918e-13,0.7740703101475459,0.8089668615984404,0.030324267419306106,0.4790674603174603,0.06942474210304696,0.5863799283154121,0.06466728608656006,0.5252254266338773,0.06091915631663912,0.7700380029995678,0.024703485849800654,0.4764347716060331,0.08444745722941324,True
1,RandomForest,1.7954249800321562,1.4842969916652893,2.1717694484490226,1.6642594343865875e-09,0.764453477868112,0.8187134502923977,0.012633022803913973,0.49127214170692435,0.04806413428602414,0.4017921146953405,0.058239040340755804,0.44154959557258405,0.05360753687792907,0.7626192473481423,0.034366828927228414,0.4739175125637837,0.08272215361343457,True
2,XGBoost,1.384974560400243,1.1624493191000016,1.6500973431176609,0.0002680238511191599,0.6699036434808793,0.787524366471735,0.03454199833658744,0.43108207581891794,0.07628125949759407,0.5652329749103943,0.09219067198490166,0.488418853636245,0.08188478220316879,0.7565101698423593,0.02548844439503259,0.49558106889029707,0.09678487974340352,True
3,LogisticRegression,1.8161634588573459,1.5017533346701983,2.196399124369552,7.623295789443199e-10,0.7656955736224029,0.8011695906432749,0.01263302280391394,0.4467418546365915,0.04374313201931595,0.5415770609318996,0.14011632442618666,0.4862435448942195,0.0847779330219266,0.7689780770082759,0.039088450785433326,0.42213780170430804,0.0482839013909003,True
4,ANN,1.4932249913271258,1.271509591360714,1.7536013018492018,1.013524862956234e-06,0.6758506473953628,0.783625730994152,0.016540509501439708,0.3886022245155372,0.039988930021788396,0.38924731182795697,0.13638546232867033,0.3795760635613177,0.09262533272583041,0.7200197550231868,0.0422241876266667,0.40175359686554707,0.07087470577031116,True
5,Ensemble,1.665510345944097,1.3426896142775429,2.065946353461133,3.474719278776774e-06,0.6956112616681722,0.8167641325536062,0.019297261085012965,0.4845959595959595,0.07765387612408135,0.4010752688172043,0.08878621657351836,0.43691789531566827,0.07888681606352312,0.758723985285413,0.03634982305651334,0.4878467229841818,0.09378821844025473,True
