,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,3.539423007160149,2.3739240147093326,5.277134038828317,5.564013807261347e-10,0.6905864197530864,0.8011695906432749,0.012633022803913973,0.44460978835978837,0.03662209095779936,0.467741935483871,0.08224225021923844,0.454738336747101,0.05867745893373395,0.7361262723651193,0.056016359422649306,0.4187597598171972,0.026427622014554033,True
1,RandomForest,3.4713640554904006,2.346555760522867,5.135342875067951,4.694343956584768e-10,0.6888361939174947,0.8089668615984406,0.0055135031671465695,0.46683760683760683,0.02387171989791794,0.4777777777777778,0.09739479753040914,0.4682539682539682,0.05278821951846313,0.7601195469417844,0.06895243108162351,0.4297707463402922,0.04829369636671739,True
2,XGBoost,3.4469151510261415,2.4701618812173005,4.809896933766333,3.356906796788668e-13,0.7069971394158386,0.7543859649122807,0.029818827564870094,0.3877654555559864,0.015514084103663077,0.6075268817204301,0.1408150629431053,0.4657520478416001,0.027821176121834195,0.7423685328626991,0.057294434437619376,0.4687245829777609,0.035194596827457056,True
3,LogisticRegression,3.3445096273130486,2.398668928797798,4.663313270496197,1.089391022543383e-12,0.7182700993676604,0.7758284600389862,0.005513503167146569,0.4093341461762514,0.022103208621078986,0.5856630824372759,0.13483183067786497,0.4778009005447525,0.05552305948581088,0.7250193374078068,0.059550360558129345,0.3981078538461292,0.02967405418226274,True
4,ANN,2.608976854478977,1.7789310852910474,3.8263203580443235,9.197671020831163e-07,0.6551490514905149,0.7836257309941521,0.00827025475071988,0.3960927960927961,0.028413409386465024,0.4132616487455197,0.11937044469426829,0.3978021978021979,0.07269378201556582,0.698178107512356,0.07134756139047854,0.39949485424746517,0.017243786280263435,True
5,Ensemble,3.9308535676647613,2.717904668242114,5.685118374816499,3.572342026365074e-13,0.709594248720265,0.7933723196881092,0.01378375791786645,0.4385369532428356,0.020494235658674514,0.5311827956989248,0.15050690930686186,0.4711858422701796,0.05871865656336758,0.7592558093930778,0.06547356309886632,0.45016542492905653,0.04117066459651652,True
