,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.7404538374231078,1.2052090557100459,2.5134059073396093,0.003122154083521848,0.6148185787413429,0.6042884990253411,0.3007134581520402,0.38042884990253406,0.1715483251549375,0.5967741935483871,0.29769609032058336,0.39127126998414125,0.1091845805515196,0.5901578949279704,0.24555492463639286,0.3337498008097272,0.15431037498979533,0.003122154083521848,True
1,RandomForest,5.742248132810856,3.9594360823073838,8.32780550899923,3.108424057730505e-20,0.7252333634447455,0.8323586744639376,0.03179241019551672,0.5454545454545454,0.09896928253669404,0.5225806451612903,0.06075030921215283,0.5302489177489177,0.06572040428313775,0.7974374757147578,0.038100565930508534,0.4438060731803411,0.05837464477788716,1.8650544346383028e-19,True
2,XGBoost,4.862676104319473,3.3454278281204015,7.068040355485619,1.1467202281186958e-16,0.6917908762420958,0.8284600389863547,0.037088299396570046,0.5413381123058542,0.09994381558791592,0.47992831541218633,0.11544446219366183,0.49872427858376334,0.0884200467399115,0.7851675727104691,0.04123927684418332,0.4788825620986814,0.04487113657418486,3.4401606843560874e-16,True
3,LogisticRegression,3.893107265846793,2.698886048374714,5.615755504948534,3.5588128971338303e-13,0.7249322493224932,0.7602339181286549,0.05030599571369954,0.4068376068376069,0.06299325050491719,0.6304659498207885,0.03955989172879671,0.4904057862819244,0.044040501713081895,0.7493982707091836,0.03673370895230029,0.4459562831560256,0.04827141043254615,5.338219345700746e-13,True
4,ANN,3.0845178945386444,2.1202572543934592,4.487309557372956,3.875627978605018e-09,0.6682286961758507,0.7777777777777777,0.017215908121496752,0.3940322962062093,0.029800860260502778,0.45483870967741935,0.12776257028949772,0.4154297693920335,0.06906270060749654,0.7182127514316945,0.031028454246427948,0.3681000370812977,0.0797854878482701,4.650753574326022e-09,True
5,Ensemble (Mean),4.0722790474727155,2.827259948022399,5.865557799906238,4.613558272662881e-14,0.7129065040650406,0.7816764132553606,0.02450254403504198,0.42159090909090907,0.05316271348119091,0.6096774193548387,0.11214801180673051,0.497609245214879,0.0735314969090586,0.7813981399774125,0.031056021865177932,0.45402732794175277,0.047807491016048906,9.227116545325762e-14,True
