,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,3.3791314971645803,2.3794650231879464,4.798780214819667,1.0168667682556774e-11,0.7035719662752183,0.7855750487329436,0.014587358233036809,0.4121172667684296,0.03793925086148386,0.48781362007168455,0.11654093065365169,0.4438718637501599,0.06962732314338772,0.7456282932604141,0.02487247111784329,0.41991605647837066,0.04743360551904517,True
1,RandomForest,3.4495761386058845,2.299689922365353,5.1744260912357,2.1590569079618128e-09,0.6800662451068955,0.8167641325536062,0.018077229036053986,0.4928571428571429,0.06583954016494015,0.4344086021505376,0.024330555911795167,0.4606334686606026,0.03892196585709005,0.7672104745200147,0.034872890829899666,0.45392359726661774,0.07883610708367328,True
2,XGBoost,3.922755343834564,2.6827175546088027,5.735978228921876,1.785075851424457e-12,0.7079945799457995,0.8187134502923977,0.03729264419046586,0.5099206349206349,0.09552700886675178,0.532258064516129,0.08224225021923845,0.5145743145743146,0.07256331870956001,0.7715279820461701,0.03963469556987561,0.5036489425821727,0.09539454109020701,True
3,LogisticRegression,3.3451340495389728,2.318459376006942,4.826447219729721,1.0774852074734877e-10,0.7108928033724782,0.7914230019493177,0.03519584811943038,0.4341865965078749,0.07066208001349902,0.5100358422939067,0.09583910370190178,0.4669984754730517,0.07681041958657163,0.7351367054867398,0.03474820741795853,0.3849962204424045,0.048222304773584905,True
4,ANN,3.374287942752388,2.3349873934912235,4.876180125144192,9.528033673198915e-11,0.6564099668774466,0.7914230019493177,0.01987921837658006,0.4099462365591398,0.06420737049729132,0.3802867383512545,0.07960056239943983,0.39324391455538993,0.0710120531559012,0.708257890207101,0.05361007669254252,0.35392542546078304,0.042102291289309555,True
5,Ensemble,5.443641624955682,3.7127594864613385,7.981458063472304,4.007355233192541e-18,0.6886668172237278,0.8343079922027289,0.024032803130483338,0.5527558190601668,0.1011562177116789,0.4121863799283154,0.06166541410066401,0.4720411663807891,0.07702950714534186,0.7742656324330998,0.04185650173446225,0.46364946893935405,0.07794188509302472,True
