,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.160096980787461,0.8614557242790021,1.5622683405564168,0.3281167496965544,0.519628876844324,0.5925925925925926,0.290925468620549,0.30338395200599927,0.16840701443178335,0.3365591397849463,0.05867855333179464,0.29597845002264656,0.13598669248352085,0.5778511328271109,0.2755973461733592,0.3172072641196076,0.14892954307409945,False
1,RandomForest,4.183187397339819,2.7249619945202035,6.421761784734112,5.992313154978451e-11,0.6771868413128576,0.8323586744639376,0.01807722903605402,0.5346445824706695,0.0769425950055889,0.43333333333333335,0.10222408218408713,0.4762789147231448,0.08864402446204263,0.7869195600149615,0.04182454399592451,0.4811473562296729,0.1035657897433849,True
2,XGBoost,3.392125667923756,2.369193329232336,4.856723343348057,2.5531820225515638e-11,0.7106857874134297,0.797270955165692,0.04306183632431681,0.45795703338806787,0.08896058162195619,0.5437275985663083,0.09360124298137378,0.4917637917637918,0.08082683124759232,0.7656266227988947,0.0333330965250738,0.4892361447978321,0.08248559813778307,True
3,LogisticRegression,3.0975875715428067,2.1465764527800575,4.469931062063873,1.5200515588786397e-09,0.690210027100271,0.7855750487329435,0.016768665237899834,0.415227524972253,0.045147556228584476,0.5086021505376345,0.16733476913786746,0.44779664779664774,0.08618817749875243,0.7646130884291488,0.04091063333528925,0.4538106916038272,0.06961863401861697,True
4,ANN,2.9758030009863687,2.065158397413611,4.288002078566912,4.8897372917246015e-09,0.6689626618488407,0.7738791423001948,0.0027567515835733108,0.3957049486461251,0.009639364150628956,0.4992831541218638,0.04845740279263253,0.4409025500032156,0.025261552027110223,0.7486507391792223,0.022183075628964093,0.38654399112225385,0.01926306736983392,True
5,Ensemble,4.294943122925601,2.779658651283107,6.636259607146685,5.2010178092711536e-11,0.675756549232159,0.8343079922027291,0.019297261085012996,0.5336161284437146,0.07196710023376711,0.4437275985663082,0.13128656021114604,0.4806026365348399,0.11063577343782216,0.7919988524655649,0.03614451084432941,0.4638008308576464,0.09649707481309021,True
