,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.6917681030986254,1.4709196717222965,1.9457754013927349,1.7492590481258752e-13,0.6670054200542005,0.5925925925925926,0.290925468620549,0.30338395200599927,0.16840701443178335,0.3365591397849463,0.05867855333179464,0.29597845002264656,0.13598669248352085,0.5778511328271109,0.2755973461733592,0.3172072641196076,0.14892954307409945,4.1723462412455253e-13,True
1,RandomForest,1.9301025783104326,1.6194070589871876,2.3004073880784865,2.0861731206227627e-13,0.7883167720566094,0.8323586744639376,0.01807722903605402,0.5346445824706695,0.0769425950055889,0.43333333333333335,0.10222408218408713,0.4762789147231448,0.08864402446204263,0.7869195600149615,0.04182454399592451,0.4811473562296729,0.1035657897433849,4.1723462412455253e-13,True
2,XGBoost,1.0678327728977313,0.9206230172642542,1.2385817098761038,0.3858402401803289,0.6462285456187895,0.797270955165692,0.04306183632431681,0.45795703338806787,0.08896058162195619,0.5437275985663083,0.09360124298137378,0.4917637917637918,0.08082683124759232,0.7656266227988947,0.0333330965250738,0.4892361447978321,0.08248559813778307,0.3858402401803289,False
3,LogisticRegression,1.752358880915613,1.4683244837389366,2.091337222481261,5.058883136381019e-10,0.7609530261969286,0.7855750487329435,0.016768665237899834,0.415227524972253,0.045147556228584476,0.5086021505376345,0.16733476913786746,0.44779664779664774,0.08618817749875243,0.7646130884291488,0.04091063333528925,0.4538106916038272,0.06961863401861697,6.070659763657223e-10,True
4,ANN,1.7246027773174966,1.4778567991629776,2.0125459660339007,4.578890455791454e-12,0.7291478470340259,0.8011695906432749,0.028649002839569334,0.44946236559139785,0.07373783904393336,0.4559139784946236,0.06586405518758516,0.45203986472062113,0.06860823220092696,0.7567633718628914,0.001188384548714363,0.4080432471479807,0.06742840060809922,6.868335683687181e-12,True
5,Ensemble (Mean),2.017664003619567,1.7046457420676626,2.3881607368838003,3.327311836447961e-16,0.78564438422162,0.8421052631578947,0.019099335226379553,0.5681504485852312,0.06804838125605031,0.46630824372759855,0.08797220703039949,0.5114515800796581,0.07965658917340625,0.8120351305320419,0.031220723724612688,0.48021444781870937,0.08024399271097417,1.9963871018687766e-15,True
