,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,4.2752020345784985,2.941513082239692,6.213588695837996,2.626377282369725e-14,0.7278681120144534,0.820662768031189,0.0351958481194304,0.5019063706563707,0.09478450545839714,0.5637992831541219,0.09318858559774391,0.5304699657640835,0.09245757482447696,0.8009988270454983,0.04588706751684212,0.4907541123233257,0.09746423270330855,True
1,RandomForest,4.051373962819405,2.7338631245450626,6.003823248957416,3.1399384060633085e-12,0.692016711833785,0.8167641325536064,0.030697886448389125,0.5051889233954451,0.10599044332207541,0.4777777777777778,0.03407469406136237,0.48658629303790596,0.05561728628349393,0.7740510144422292,0.05672213022490379,0.4741811519432663,0.12360996179851749,True
2,XGBoost,3.4437847668654693,2.3297297221955446,5.09057055310179,5.595313687145686e-10,0.6648976211984342,0.8148148148148149,0.01929726108501299,0.4635135135135135,0.08195475243273681,0.44336917562724015,0.1682290815584984,0.4476038551013626,0.12727367509176968,0.7792408841825451,0.04639309027534379,0.48892364411695066,0.10881913645472556,True
3,LogisticRegression,3.753501419231099,2.602076953400184,5.4144336068769245,1.4859676285494833e-12,0.7193616380608251,0.8128654970760234,0.009549667613189776,0.4757510123363782,0.03497302129299152,0.5526881720430108,0.11496831315805296,0.5088460671624971,0.07072568285968936,0.7794812853838248,0.044334657192244845,0.4836871082377226,0.09719939819432764,True
4,ANN,3.2915325303110308,2.302538947191619,4.705321667331653,6.386344445655865e-11,0.6697342667871123,0.7914230019493177,0.009939609188290021,0.4299509743336218,0.013010421590317985,0.4885304659498208,0.08812977977109387,0.45318761384335154,0.03322815779979654,0.7629522502206099,0.04181365617398513,0.42278723790193934,0.05645071130081572,True
5,Ensemble,3.6462452302511292,2.520465095660998,5.274861493625421,6.565223593576097e-12,0.6894948810599217,0.8089668615984406,0.014587358233036809,0.47302712343362757,0.03345465709126664,0.4774193548387096,0.07597213648454063,0.4704433497536946,0.030433091942283493,0.7959106375715846,0.050150441698964245,0.4714477613233146,0.09008229816105509,True
