,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,6.228382106371407,3.4044478981811412,11.394723850434872,2.9366192940438934e-09,0.6060486299307437,0.8343079922027291,0.015348943224194554,0.6352813852813853,0.14646020365883036,0.2172043010752688,0.0290123388456603,0.32045732045732045,0.04509528930130286,0.8009988270454983,0.04588706751684212,0.4907541123233257,0.09746423270330855,3.523943152852672e-09,True
1,RandomForest,4.869670708166194,3.171433037731068,7.477279994200124,4.655521147874034e-13,0.7115326708822644,0.8167641325536062,0.012016401565241645,0.4831567409572524,0.02782858400702977,0.5189964157706093,0.2072069019657596,0.48288354671333394,0.11552265514103649,0.7740510144422292,0.05672213022490379,0.4741811519432663,0.12360996179851749,2.00834234542923e-12,True
2,XGBoost,4.389157564556538,2.8987506063092403,6.645864630290556,2.786805733396742e-12,0.6901912074676302,0.8128654970760234,0.02981882756487008,0.4742471151139882,0.1308994244844897,0.4752688172043011,0.23500958767953808,0.4528552332115543,0.14888193296357063,0.7792408841825451,0.04639309027534379,0.48892364411695066,0.10881913645472556,5.573611466793484e-12,True
3,LogisticRegression,4.420863403238498,2.9473737040434314,6.6309993888055265,6.694474484764098e-13,0.7225421559771154,0.8070175438596491,0.004774833806594889,0.4644395948743775,0.025583969054675217,0.5634408602150538,0.12700923062566366,0.5048778131942432,0.06665168802025093,0.7794812853838248,0.044334657192244845,0.4836871082377226,0.09719939819432764,2.00834234542923e-12,True
4,ANN,3.2325559437639266,2.0827830228102564,5.017045854092044,1.681973047168285e-07,0.6521943691659139,0.7816764132553606,0.01676866523789988,0.3936842105263158,0.02532156989848241,0.4010752688172043,0.173441893483313,0.3803666292555182,0.0802836315909843,0.7321393164907235,0.0397887296747653,0.41163433584962467,0.06427870715758427,1.681973047168285e-07,True
5,Ensemble (Mean),4.796186224811208,3.0748986886505763,7.481027712546805,4.767370515088235e-12,0.7079004817825956,0.8226120857699805,0.01987921837658006,0.49615384615384617,0.06815401979488211,0.4982078853046595,0.15713484026367724,0.49152758122365237,0.10454523128121511,0.8010157132325973,0.05233591845472501,0.5106426998856309,0.12497293471094731,7.151055772632353e-12,True
