,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.6967239219052062,1.4280634326905344,2.0159273049527378,1.8401744773128806e-09,0.7538203854260764,0.8089668615984404,0.021530918162158425,0.46362832569729123,0.06852351309318735,0.44623655913978494,0.0876855184424736,0.45346700083542185,0.07620073506685514,0.7445584716003385,0.05954003730576461,0.4592316631294979,0.12108885260893772,5.520523431938642e-09,True
1,RandomForest,1.886931705765551,1.5583497624072178,2.284795973352792,7.791979686526433e-11,0.7810523938572719,0.8304093567251462,0.03443181624299355,0.5322222222222223,0.10989332650291621,0.5437275985663083,0.1719675760548861,0.5264069264069264,0.11540836504208923,0.7931845170005775,0.058602249920839025,0.5008469492755149,0.11328727541772421,4.67518781191586e-10,True
2,XGBoost,1.6064452419847584,1.3259992347424907,1.9462049810282391,1.2821676788511862e-06,0.7517878651008733,0.797270955165692,0.026297734041388004,0.43121693121693117,0.07845599273194134,0.5222222222222223,0.17406148658598847,0.4689676425269646,0.11950399466946923,0.7640187128004561,0.06840690880436949,0.44709399839104186,0.10334035539311211,1.9232515182767794e-06,True
3,LogisticRegression,1.6336399044472902,1.380069090533818,1.9338012536533613,1.1769250296351122e-08,0.7597862089732008,0.7933723196881091,0.019297261085012965,0.443348091924942,0.023162997127167483,0.5318996415770609,0.10308134056574834,0.47674263627882185,0.02506869302887134,0.7562684068517974,0.05593478924947658,0.452793645603861,0.10798274791346203,2.3538500592702245e-08,True
4,ANN,1.5581509462779144,1.2811184143083387,1.895089746795592,8.987135850583928e-06,0.6785983137609154,0.7582846003898637,0.038594522170025986,0.35425655056298005,0.1083403386929182,0.45412186379928315,0.15667551833979876,0.3974983912483912,0.1283607418826185,0.6902909871338148,0.05348861950629699,0.3572884994146162,0.05024884886100107,1.0784563020700713e-05,True
5,Ensemble (Mean),1.769904431727807,1.3528936990312386,2.3154529433412643,3.1164593988036954e-05,0.766260162601626,0.8070175438596491,0.03789906841174189,0.46355866355866354,0.10095964312619615,0.489247311827957,0.13191230264930426,0.4723084886128364,0.11252557040532954,0.7678161983927255,0.05120449156520458,0.4459463529776489,0.09665457416339493,3.1164593988036954e-05,True
