,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.663173697673946,1.407611312101333,1.9651353501166617,2.279191456391311e-09,0.7336833785004516,0.7992202729044835,0.0351958481194304,0.45252945252945254,0.0817858267050973,0.553763440860215,0.08768551844247358,0.49799322714160293,0.08496996077717668,0.7312599637582479,0.08864639810815268,0.4392564891804191,0.0643526242680044,6.837574369173933e-09,True
1,RandomForest,1.7491841447229854,1.4716297120833828,2.0790862993780888,2.255420874036258e-10,0.7499247214694369,0.8128654970760234,0.012633022803913974,0.4792519792519793,0.03928691146452315,0.49964157706093193,0.08238427468707464,0.48646944157780064,0.05138439501466463,0.7528100067907891,0.0728779186153244,0.43252986208316185,0.0779318933633365,1.3532525244217549e-09,True
2,XGBoost,1.3836648818500297,1.204343661561239,1.5896862053337637,4.529247589765567e-06,0.6260162601626016,0.8226120857699805,0.014587358233036809,0.49942528735632186,0.041530693712964764,0.5315412186379929,0.1261821835633905,0.5116575157157635,0.07765361204339837,0.7503629622366753,0.08113283212814544,0.45875451987863886,0.04594210107911777,5.435097107718681e-06,True
3,LogisticRegression,1.469553970657098,1.2529167386282987,1.7236491508912033,2.235305290456251e-06,0.7274164408310749,0.7621832358674463,0.050154699143347414,0.39005159005159,0.08743791608021481,0.5637992831541219,0.13041769165386263,0.4596216760206577,0.10298920792889103,0.6989051214171322,0.10380743685815431,0.37057124227405075,0.09385098023550788,3.3529579356843763e-06,True
4,ANN,1.3236890827704613,1.0731472378263065,1.6327235686640222,0.00880876093534886,0.6503312255344775,0.736842105263158,0.029818827564870094,0.32243672243672244,0.06069411589575818,0.4125448028673835,0.051120209116511627,0.3615867317192918,0.05781875448979463,0.6486102486445658,0.09088092191116569,0.3112064030058124,0.06930412899752858,0.00880876093534886,True
5,Ensemble (Mean),1.7000214225780008,1.3680876895450016,2.112490931180961,1.686279117530771e-06,0.7460478771454381,0.8187134502923977,0.004774833806594889,0.4942528735632184,0.008127664151569501,0.4989247311827956,0.10552984211944341,0.49149713093375064,0.05163233684506187,0.7508668242710795,0.07241780309331888,0.4405203091540435,0.03645277710844865,3.3529579356843763e-06,True
