,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.663173697673946,1.407611312101333,1.9651353501166617,2.279191456391311e-09,0.7336833785004516,0.7992202729044835,0.0351958481194304,0.45252945252945254,0.0817858267050973,0.553763440860215,0.08768551844247358,0.49799322714160293,0.08496996077717668,0.7312599637582479,0.08864639810815268,0.4392564891804191,0.0643526242680044,True
1,RandomForest,1.7491841447229854,1.4716297120833828,2.0790862993780888,2.255420874036258e-10,0.7499247214694369,0.8128654970760234,0.012633022803913974,0.4792519792519793,0.03928691146452315,0.49964157706093193,0.08238427468707464,0.48646944157780064,0.05138439501466463,0.7528100067907891,0.0728779186153244,0.43252986208316185,0.0779318933633365,True
2,XGBoost,1.3836648818500297,1.204343661561239,1.5896862053337637,4.529247589765567e-06,0.6260162601626016,0.8226120857699805,0.014587358233036809,0.49942528735632186,0.041530693712964764,0.5315412186379929,0.1261821835633905,0.5116575157157635,0.07765361204339837,0.7503629622366753,0.08113283212814544,0.45875451987863886,0.04594210107911777,True
3,LogisticRegression,1.469553970657098,1.2529167386282987,1.7236491508912033,2.235305290456251e-06,0.7274164408310749,0.7621832358674463,0.050154699143347414,0.39005159005159,0.08743791608021481,0.5637992831541219,0.13041769165386263,0.4596216760206577,0.10298920792889103,0.6989051214171322,0.10380743685815431,0.37057124227405075,0.09385098023550788,True
4,ANN,1.35321375768157,1.1628154567750966,1.5747876959403455,9.242389241936977e-05,0.663354411321891,0.7680311890838206,0.02715085434148949,0.3716049382716049,0.058975658827141654,0.4129032258064516,0.07954082584476099,0.38843222312084896,0.06306471347573071,0.6711834493577803,0.07047576370783509,0.3670650606278057,0.05201234099858265,True
5,Ensemble,1.6911840305064716,1.3713236594265297,2.085651629635103,9.013253924670373e-07,0.7404019873532068,0.8245614035087719,0.017215908121496752,0.5071619538278399,0.041852035591096036,0.543010752688172,0.09707241981326767,0.5229277105569686,0.06493800798857126,0.7517824913844132,0.07837427524181398,0.4417215800464227,0.0629768007810836,True
