,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.4776912538374838,1.249796231274008,1.7471419636478838,4.89787997922091e-06,0.7023298705209274,0.7426900584795321,0.023874169032974443,0.34088127294981646,0.04755481561826785,0.4559139784946236,0.039537153356667167,0.3896517124629096,0.044691199115465575,0.7088723295312177,0.05409717006844462,0.3675661884702166,0.03878262790227322,True
1,RandomForest,1.6616759346498604,1.403541606307447,1.9672854010069518,3.735892646407962e-09,0.713038241493526,0.7309941520467835,0.05423168710816202,0.34370648844333057,0.027366886115962462,0.4982078853046595,0.15713484026367724,0.3926030512251965,0.034892464650696335,0.707435914196381,0.03775811122072881,0.35401852670700595,0.059696774672918056,True
2,XGBoost,1.5690671972709846,1.3000487002481864,1.8937535717560574,2.6734610167567256e-06,0.7111186389641674,0.7777777777777777,0.021881037349555193,0.3889504652435687,0.06379755957275267,0.4874551971326164,0.18127840310253468,0.42829929849882653,0.1093439159825177,0.7714400104585417,0.048833820828039796,0.3965813686899016,0.04681555984449622,True
3,LogisticRegression,1.424158825110345,1.190095826244443,1.7042563417267917,0.00011350777146272473,0.6893255043661548,0.7563352826510722,0.018077229036053986,0.3427807486631016,0.057168418288473244,0.4010752688172043,0.08878621657351836,0.36898474178403756,0.06931003352557587,0.6987233679409383,0.06913844947825469,0.362751253803856,0.07398719137848642,True
4,ANN,1.3643466629060679,1.1717156372037008,1.5886463895158505,6.319045303919986e-05,0.6723125564588979,0.7251461988304094,0.020813018035148765,0.3211007130124777,0.0062706884784368535,0.47706093189964155,0.08748897637790903,0.38070049553527624,0.030566722655576684,0.6731533229474205,0.04333742323866481,0.36131868824366126,0.018329609584155162,True
5,Ensemble,1.6120156919721917,1.3351368550080775,1.9463132797340559,6.834121711049659e-07,0.7479674796747967,0.7582846003898635,0.03454199833658741,0.374546783625731,0.0791057567543872,0.5630824372759856,0.16669633990291463,0.4488339170642472,0.11061695505491091,0.7460288408812774,0.06963628709784406,0.3996595690302509,0.037929035390061365,True
