,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
A1BG,15.2892380324785,0.12711298442071,0.181639237455348,0.699810163274652,0.484045866851259,0.55109998672439,NS
A2M,8478.59607113187,0.875507905325949,0.139840660277888,6.26075351465134,3.83121683307819e-10,2.7591220265514e-09,Up
A2ML1,207.991998933319,-0.498666921383665,0.207963485067571,-2.39785807215934,0.0164912537173125,0.027256494281582,NS
A2MP1,36.8241492398226,-0.459356562081869,0.142968952772337,-3.21298123245923,0.00131364873171158,0.00273268566104605,NS
A3GALT2,12.1305019346215,-0.0319654876964255,0.264168208944357,-0.1210042942872,0.903687633841388,0.924068141143594,NS
A4GALT,229.622940091917,0.21589589009849,0.166746308331897,1.29475664114113,0.195404193710961,0.249512340490585,NS
AAAS,1658.70253276385,-0.46218884059704,0.0844468622712554,-5.47313219421254,4.42150027667305e-08,2.16174073767942e-07,NS
AACS,848.213354971405,-0.372302359745841,0.125103198084005,-2.97596196938024,0.00292071079378022,0.00568112373932181,NS
AADAT,424.618679774005,0.225011487468639,0.104609955475099,2.15095672727058,0.0314796153663182,0.0490051900475761,NS
AAED1,219.502370955863,0.453745785787683,0.0871664928131238,5.2055069688357,1.93467686304235e-07,8.34982048415406e-07,NS
AAGAB,701.774100082702,-0.0866770989350796,0.101210932297612,-0.856400558392293,0.391776255931593,0.458328806218495,NS
AAK1,830.729113373787,-0.345147927691195,0.204208483935996,-1.69017428188426,0.0909946170597201,0.126772347791037,NS
AAMDC,114.426000322124,-0.49008481744745,0.0923439416284244,-5.30716805894494,1.11341513748504e-07,5.0146932607262e-07,NS
AAMP,3826.40433413139,-0.669828028500635,0.0721934381438648,-9.27823976419884,1.72301427141826e-20,1.37773239673208e-18,Down
AANAT,54.6781171208922,-0.73490740916645,0.222756587621595,-3.29915005887443,0.000969780559088186,0.00206310328114278,Down
AAR2,792.409492698036,-0.046740881188427,0.070070805306764,-0.667052147949485,0.504738824289067,0.571612404650816,NS
AARS,6785.92183463508,-0.382544742589699,0.0703833903013585,-5.43515651848778,5.47483529721012e-08,2.63226638679214e-07,NS
AARS2,760.57406179494,-0.368747124401724,0.0838196525909513,-4.39929196797377,1.08604630237341e-05,3.36233140952225e-05,NS
AARSD1,89.6418988987799,-0.5941899226221,0.158326827377919,-3.75293266758764,0.000174777811833722,0.000433525892678023,Down
AASDH,351.308337730724,0.193945147514702,0.0910128119421146,2.13096533747418,0.0330919979037742,0.0512106022394647,NS
AASDHPPT,1005.41971125565,0.0457003537359549,0.136197750281369,0.335544116121913,0.737214671709852,0.78391539804745,NS
AASS,867.67109430025,0.280056017373431,0.232944787204279,1.2022420451411,0.229269763673106,0.286661821556788,NS
AATF,1554.81004324818,-0.731874478222444,0.120382418069674,-6.07957947645523,1.20498145391217e-09,7.8551240802821e-09,Down
AATK,4634.54350536212,-0.658541801049619,0.172174586322107,-3.82484903908878,0.000130852241391331,0.000332810025425271,Down
ABAT,6975.9438389808,-0.22105092876382,0.145266295059739,-1.5216945449935,0.12808563509106,0.171938970294252,NS
ABCA1,2362.55370883088,0.528158927764316,0.183186729825818,2.8831724233874,0.00393691880944263,0.00742897769296359,NS
ABCA10,61.6305467805522,0.368169338380094,0.248614129617066,1.48088662115535,0.138636788744838,0.184258769745861,NS
ABCA12,19.9765298511054,0.960715703036152,0.201116807809181,4.77690409618909,1.78014620318187e-06,6.39277282523188e-06,Up
ABCA13,44.3592819112828,1.65897943968548,0.339418621504026,4.88770896639152,1.02016188528636e-06,3.83316382452968e-06,Up
ABCA17P,235.911499801524,-1.54311177300329,0.142710050645987,-10.8129158809649,2.99011719734243e-27,1.24450211146826e-24,Down
ABCA2,17476.4759100021,-0.689897116509294,0.161976069340988,-4.25925335338851,2.05110885748007e-05,6.02054231005723e-05,Down
ABCA3,6773.45042184536,-0.637364415658292,0.114947616777822,-5.54482496918776,2.94248364715432e-08,1.48792506419342e-07,Down
ABCA4,28.0495790997801,-0.466271632970845,0.206583484562926,-2.25706151659387,0.0240042311209761,0.0382860056554667,NS
ABCA5,319.965341754033,0.773194743805766,0.22379962763639,3.454852682159,0.000550593578149795,0.00123187249628222,Up
ABCA6,67.2902698644509,0.616046438631905,0.248726332792724,2.4768042519458,0.0132564584440987,0.022339995168668,NS
ABCA7,1010.70214965201,-0.955351745374682,0.210509166915155,-4.5382904667507,5.67121083257087e-06,1.85296083402356e-05,Down
ABCA8,653.973684018071,0.549775184073548,0.203321633700799,2.70396796477928,0.00685168944131081,0.0123270850177159,NS
ABCA9,104.439243765597,-0.00721416109848194,0.180475565153787,-0.0399730627929304,0.968114601900188,0.975385526537388,NS
ABCB1,542.805696924614,0.179372769221305,0.144298689791453,1.24306582049042,0.213843579639035,0.269894175002008,NS
ABCB10,392.688466159504,-0.00477433455821682,0.109401372915595,-0.0436405360461088,0.965190939369216,0.973285663654167,NS
ABCB4,71.340406798968,0.800890468912185,0.177978868685675,4.49991886579874,6.79794037912748e-06,2.189802902044e-05,Up
ABCB6,66.4273345093525,-0.229678595194066,0.182320203099088,-1.25975394547602,0.207758138283968,0.263113841041224,NS
ABCB7,398.755896455342,0.155513790340738,0.075606243440528,2.05689085006671,0.0396967263264244,0.0603443773862635,NS
ABCB8,1958.60515967974,-0.538754395826026,0.121270094129594,-4.44259897456904,8.88787269376292e-06,2.80417776547567e-05,NS
ABCB9,585.849513179391,-0.597097557745799,0.163178128012147,-3.6591764167153,0.000253027114867056,0.000608825397053374,Down
ABCC1,789.227299053534,0.264648061363012,0.137802135054975,1.92049318580901,0.0547956330556859,0.0803979676181771,NS
ABCC10,868.28259290419,-0.169482367885281,0.101261916482373,-1.67370294551737,0.0941889946195762,0.130829690284525,NS
ABCC11,30.3422623703881,-0.285613996435037,0.167245297915575,-1.70775501610344,0.0876818090924432,0.122641199930077,NS
ABCC12,29.4485770082595,-1.31148737753293,0.338201509273879,-3.87782828157304,0.000105393061964814,0.000272845324053089,Down
ABCC2,28.450133062724,0.309185323781151,0.214269436126477,1.44297445949617,0.14902766609948,0.196315368359529,NS
ABCC3,365.525716836116,1.61206272801874,0.333298663043266,4.8366912525223,1.32018245786736e-06,4.86364086611508e-06,Up
ABCC4,470.210596729888,-0.0390600450617301,0.17172129616117,-0.227461857876207,0.820064624928898,0.854492809850165,NS
ABCC5,2309.78151592867,-0.106591010504405,0.101555974539968,-1.04957892420653,0.293911751159137,0.357174181688636,NS
ABCC6,116.885420893299,-0.527254125175667,0.153944923343573,-3.42495298788741,0.000614905813336634,0.00136261449311676,NS
ABCC6P1,46.1260979076404,-0.0922910578426758,0.208185798535411,-0.443311015890345,0.657540788959378,0.712591940605463,NS
ABCC6P2,20.8390623279985,-0.307326379183749,0.202222777574674,-1.51974165754035,0.128575917409717,0.172497255260313,NS
ABCC8,1846.49835367086,-1.96369644687199,0.228614289836517,-8.5895612574185,8.73020509080986e-18,3.35008721120628e-16,Down
ABCC9,326.033179989352,0.353929622647146,0.169477630085967,2.08835598224743,0.0367657350099621,0.0563267022823696,NS
ABCD1,191.831803230495,0.464590267657872,0.162509869322996,2.85884340190118,0.00425188624610202,0.00796223091217443,NS
ABCD2,166.708181322608,0.795784638387813,0.18924755356743,4.20499300195324,2.61090235279849e-05,7.52505145575414e-05,Up
ABCD3,1242.87948384977,0.284203245062024,0.092399038844207,3.07582469057081,0.00209921230537934,0.00420567935582788,NS
ABCD4,1857.67697749362,-0.514140829568241,0.099679912324847,-5.15791815599422,2.49710719765997e-07,1.05225971008351e-06,NS
ABCE1,764.434141472903,0.488492280136243,0.111618166468896,4.37645856037571,1.20623111238993e-05,3.70123694070196e-05,NS
ABCF1,1131.93899419721,0.417866930465079,0.122436549405584,3.41292638916872,0.000642692994479446,0.00141857393070307,NS
ABCF2,1484.02272792805,-0.0643798957420846,0.0680177752564692,-0.946515752673952,0.343885591495941,0.409564232237297,NS
ABCF3,1950.74658036071,-0.412881796648295,0.0602631834741525,-6.85131074805207,7.31763614917806e-12,7.15541385382279e-11,NS
ABCG1,959.750951819438,-0.236566392888182,0.140761621235917,-1.68061713705112,0.0928373049731564,0.129117910575296,NS
ABCG2,984.727856933203,-0.0493612492692889,0.136752594520757,-0.360952927015923,0.718134636856372,0.766690438401251,NS
ABCG4,162.992192965683,-0.939275100782387,0.237817134694587,-3.94956865487693,7.82921529531175e-05,0.000207213146377793,Down
ABCG5,22.2503685399573,-1.381424504804,0.218102895865447,-6.3338200958883,2.39164366930431e-10,1.77346551119907e-09,Down
ABHD1,74.1635227711833,-0.613836060005475,0.165589307134152,-3.70697885406438,0.000209746448565917,0.000512355809348677,Down
ABHD10,1000.20378047182,-0.419738945875569,0.0981992215086177,-4.27436123654742,1.91686041100246e-05,5.65306653186627e-05,NS
ABHD11,296.656424915965,-0.152066406820106,0.105054194914693,-1.44750437565666,0.147755711816953,0.194860695099723,NS
ABHD12,4273.99286360115,-0.792590494837146,0.112740460887784,-7.03022223428775,2.06204838158544e-12,2.29569062619307e-11,Down
ABHD12B,78.0668516697283,-0.131987089266519,0.226144128509444,-0.583641459703019,0.559461560262969,0.62323656895124,NS
ABHD13,300.778729472352,0.426055246767098,0.0968157541961414,4.40068096669414,1.07911686741427e-05,3.34342908796879e-05,NS
