,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.8123111855907639,1.5189176065628136,2.162376562906458,4.141890453209302e-11,0.7550813008130082,0.7933723196881092,0.02715085434148949,0.4305555555555556,0.07717399573226691,0.46630824372759855,0.07521930441812112,0.4474274811299366,0.07546254654226438,0.7654597582188521,0.047018512098597136,0.4690163402236404,0.11370797055847355,True
1,RandomForest,1.7634136763794945,1.4977318413789638,2.076224667280363,9.876101300139815e-12,0.7530487804878049,0.8245614035087719,0.04162603607029751,0.5286329808068938,0.09713107871730883,0.5978494623655913,0.09219763918376782,0.5521524399233377,0.07172795268161389,0.7838092332944769,0.057570562097292,0.5051241651404309,0.13001323696827452,True
2,XGBoost,1.4403865891783478,1.1948534212208253,1.736374930545894,0.00012973421629525019,0.6910004516711834,0.7914230019493177,0.023553695854960192,0.4188184977278803,0.06938390132579599,0.4982078853046595,0.15713484026367724,0.4526066898948255,0.10626292548422404,0.7496746231475125,0.050967040815942735,0.46799554191832354,0.11787525930831491,True
3,LogisticRegression,1.7006969764353665,1.4165595287624533,2.041827503135893,1.2444726937309994e-08,0.7542908762420958,0.7933723196881091,0.03519584811943038,0.44457735247208935,0.07648230530859666,0.575268817204301,0.07488380794185008,0.5010684853651606,0.07626555624662233,0.7512657377448043,0.05161414892935237,0.43361653637602354,0.08509851715912288,True
4,ANN,1.5749050131441433,1.321256272254987,1.8772480801119562,3.9956729830822054e-07,0.7037789822342668,0.7875243664717347,0.01987921837658006,0.4156746031746032,0.0528485919486022,0.4344086021505376,0.024330555911795167,0.42423053570594554,0.03934307358476478,0.7363192832993793,0.06311977846648437,0.40427315036122463,0.0874266014642192,True
5,Ensemble,1.3359516546680439,1.1752762642045849,1.518593438810063,9.413591011128969e-06,0.7682174043962662,0.8128654970760234,0.03604920469572498,0.4836309523809524,0.10815084708694417,0.46630824372759855,0.07521930441812112,0.47430439160220733,0.09124232836544863,0.7797115185584644,0.05912250533586486,0.48167040038942316,0.1152457519170118,True
