,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,2.985499019069729,2.024428221524056,4.402825596926405,3.423111261891354e-08,0.6846770551038843,0.7933723196881092,0.02715085434148949,0.4305555555555556,0.07717399573226691,0.46630824372759855,0.07521930441812112,0.4474274811299366,0.07546254654226438,0.7654597582188521,0.047018512098597136,0.4690163402236404,0.11370797055847355,True
1,RandomForest,4.322530760266929,3.023053153596236,6.180596643240266,1.025805405950591e-15,0.7422463113520024,0.8245614035087719,0.04162603607029751,0.5286329808068938,0.09713107871730883,0.5978494623655913,0.09219763918376782,0.5521524399233377,0.07172795268161389,0.7838092332944769,0.057570562097292,0.5051241651404309,0.13001323696827452,True
2,XGBoost,3.167814483313779,2.2294670171725532,4.501097582245984,1.2478075396241027e-10,0.6756812707015959,0.7914230019493177,0.023553695854960192,0.4188184977278803,0.06938390132579599,0.4982078853046595,0.15713484026367724,0.4526066898948255,0.10626292548422404,0.7496746231475125,0.050967040815942735,0.46799554191832354,0.11787525930831491,True
3,LogisticRegression,3.298933358141432,2.3385978852301985,4.653626589757669,1.0485686718218662e-11,0.7138098464317977,0.7933723196881091,0.03519584811943038,0.44457735247208935,0.07648230530859666,0.575268817204301,0.07488380794185008,0.5010684853651606,0.07626555624662233,0.7512657377448043,0.05161414892935237,0.43361653637602354,0.08509851715912288,True
4,ANN,2.6123954212600684,1.8116872311115706,3.7669911891101058,2.7154619357889607e-07,0.6586683227943391,0.7875243664717347,0.01987921837658006,0.4156746031746032,0.0528485919486022,0.4344086021505376,0.024330555911795167,0.42423053570594554,0.03934307358476478,0.7363192832993793,0.06311977846648437,0.40427315036122463,0.0874266014642192,True
5,Ensemble,3.5642546839479383,2.4304981876034195,5.226875509243414,7.698110595718233e-11,0.6872929840409515,0.8128654970760234,0.03604920469572498,0.4836309523809524,0.10815084708694417,0.46630824372759855,0.07521930441812112,0.47430439160220733,0.09124232836544863,0.7797115185584644,0.05912250533586486,0.48167040038942316,0.1152457519170118,True
