,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,3.336370533220046,2.225709697233046,5.001266943652754,5.42102964092615e-09,0.6269948810599217,0.8167641325536062,0.005513503167146569,0.4711486849168009,0.041883865702421905,0.3243727598566308,0.11830672002938356,0.37608708873076685,0.10230921909303602,0.7335648375113029,0.01939578962960498,0.4013596980104294,0.051866907099977586,5.42102964092615e-09,True
1,RandomForest,4.175818627917351,2.831539490172419,6.158297023150377,5.554609979891369e-13,0.6655751279735019,0.8245614035087718,0.023874169032974443,0.5439814814814815,0.10398646965377872,0.4014336917562724,0.08157567510208633,0.44856568222716203,0.03456066414056863,0.7803771611595908,0.046363907652486255,0.4571777357158327,0.08578226970485978,1.1109219959782737e-12,True
2,XGBoost,3.859455363290316,2.618730025440612,5.688022650874129,8.792897563928692e-12,0.6661020776874436,0.8167641325536062,0.019297261085012965,0.5166666666666667,0.06701298934341567,0.40394265232974913,0.1395816921337506,0.42800765126346524,0.07262010305738514,0.778451954258406,0.04549230027876423,0.4849225855679906,0.07754017287071235,1.318934634589304e-11,True
3,LogisticRegression,4.437499590735378,3.078934590932012,6.395524827247447,1.3457870200777305e-15,0.7295995182174044,0.7875243664717347,0.03250162183339777,0.44514465498072053,0.03826857316960733,0.6078853046594982,0.11780724636085527,0.5048413744065918,0.015218734542649845,0.7747963671093389,0.037289462203520966,0.4425026842869693,0.06025482090129732,4.037361060233192e-15,True
4,ANN,3.740546692243398,2.5211803574093024,5.549658324020306,5.595539671139671e-11,0.6449111713339356,0.8187134502923977,0.009549667613189778,0.49404761904761907,0.027059884319416395,0.3587813620071685,0.005575752396453042,0.4154889628807498,0.012810828847341202,0.7208622486590915,0.007100363018764703,0.3749873346150662,0.011372036138012931,6.714647605367605e-11,True
5,Ensemble (Mean),4.928063746197302,3.398922398330551,7.145150562576141,3.931850480532656e-17,0.708690906353508,0.8226120857699805,0.009939609188290037,0.5115012502782031,0.03807067279934621,0.4992831541218638,0.1033091559157337,0.4977257959714099,0.04218020108412603,0.7728254040882728,0.03231551318568177,0.43623799906939925,0.04765139602029596,2.359110288319594e-16,True
