,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.8640373373517392,1.5794313156439135,2.1999280124598504,1.745617055919471e-13,0.7606895513399579,0.8245614035087719,0.020813018035148765,0.5061019319870618,0.051680247198200954,0.5652329749103943,0.11852803272406504,0.5315725561627201,0.07765181117857826,0.7713672909108736,0.05194929828669531,0.44055404451548874,0.08630890932674415,1.0473702335516827e-12,True
1,RandomForest,1.7874074231432615,1.4747908349992809,2.166290446407061,3.2030974018990477e-09,0.7656579343571214,0.8304093567251462,0.049850728469958784,0.5295518207282913,0.1251886194700036,0.5544802867383513,0.13197461637245883,0.54070144414972,0.12561870327730584,0.7712499046747503,0.05766100434219854,0.4659091437129035,0.11071125894261484,9.609292205697144e-09,True
2,XGBoost,1.3844280838121652,1.157947703580045,1.6552052509125534,0.0003584048676258119,0.6959123757904245,0.7855750487329435,0.0370882993965701,0.4396825396825397,0.07235727822248558,0.5971326164874552,0.12681893025452048,0.49867212512465225,0.062475393978033235,0.7744597327987858,0.05870810945401105,0.4525817052968046,0.07774421880609891,0.0003584048676258119,True
3,LogisticRegression,1.5280216605469208,1.2729045631459868,1.834269640239156,5.3906747752483615e-06,0.7184206564287865,0.8011695906432749,0.017215908121496752,0.4481481481481482,0.04090874450810096,0.5204301075268818,0.13546680213353654,0.4773205741626794,0.0773303289088522,0.7165439240593668,0.04341996179695289,0.41793560283686854,0.09248223995190338,8.086012162872543e-06,True
4,ANN,1.4709516421120181,1.2257780088865513,1.765163608537456,3.3500554328069864e-05,0.704418849744053,0.7621832358674464,0.03179241019551672,0.3539938556067588,0.07873586527775694,0.41254480286738354,0.12288314976446851,0.38014175465110583,0.09664593869179186,0.7116254135300121,0.04864875284824882,0.34623924607059253,0.04645973733969527,4.0200665193683835e-05,True
5,Ensemble (Mean),1.7508085000907794,1.4388480711982232,2.1304058888145314,2.2193346231389694e-08,0.7734116230051189,0.8226120857699805,0.01987921837658006,0.5029556650246305,0.050532222215057765,0.5541218637992832,0.11943177259371936,0.5237807051933503,0.07324941870305651,0.772962672447916,0.06915240302726293,0.4576778052928998,0.0934638745044599,4.438669246277939e-08,True
