,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.8640373373517392,1.5794313156439135,2.1999280124598504,1.745617055919471e-13,0.7606895513399579,0.8245614035087719,0.020813018035148765,0.5061019319870618,0.051680247198200954,0.5652329749103943,0.11852803272406504,0.5315725561627201,0.07765181117857826,0.7713672909108736,0.05194929828669531,0.44055404451548874,0.08630890932674415,True
1,RandomForest,1.7874074231432615,1.4747908349992809,2.166290446407061,3.2030974018990477e-09,0.7656579343571214,0.8304093567251462,0.049850728469958784,0.5295518207282913,0.1251886194700036,0.5544802867383513,0.13197461637245883,0.54070144414972,0.12561870327730584,0.7712499046747503,0.05766100434219854,0.4659091437129035,0.11071125894261484,True
2,XGBoost,1.3844280838121652,1.157947703580045,1.6552052509125534,0.0003584048676258119,0.6959123757904245,0.7855750487329435,0.0370882993965701,0.4396825396825397,0.07235727822248558,0.5971326164874552,0.12681893025452048,0.49867212512465225,0.062475393978033235,0.7744597327987858,0.05870810945401105,0.4525817052968046,0.07774421880609891,True
3,LogisticRegression,1.5280216605469208,1.2729045631459868,1.834269640239156,5.3906747752483615e-06,0.7184206564287865,0.8011695906432749,0.017215908121496752,0.4481481481481482,0.04090874450810096,0.5204301075268818,0.13546680213353654,0.4773205741626794,0.0773303289088522,0.7165439240593668,0.04341996179695289,0.41793560283686854,0.09248223995190338,True
4,ANN,1.4855453524086637,1.2378511573248332,1.782803191647271,2.1118471829690647e-05,0.6676829268292683,0.773879142300195,0.029174716466073617,0.38010752688172045,0.06668834194983089,0.39032258064516134,0.13463636615941427,0.37466893039049237,0.07557228313462197,0.6918223645745952,0.05660639519438868,0.33167825700708353,0.07278092575467371,True
5,Ensemble,1.6736971880903684,1.3431412515050396,2.0856051247645677,4.4770579588752e-06,0.7547049081601928,0.8167641325536062,0.01676866523789988,0.4798818752307124,0.04348023073230442,0.4874551971326164,0.18127840310253468,0.47351938179455627,0.10489411053905742,0.7657366553728941,0.058738073671786475,0.40440705046052655,0.07774303327311505,True
