,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,4.005127425837875,2.7350705341057635,5.864947721519501,1.002041871407705e-12,0.6600609756097561,0.8265107212475633,0.014587358233036809,0.5487308429118773,0.09001044674514219,0.4132616487455197,0.11937044469426829,0.45081784301334954,0.06879280161893671,0.764503600570862,0.06586733130975529,0.43947033361693016,0.027998590692370623,1.5030628071115575e-12,True
1,RandomForest,4.734568449429859,3.1743606820954637,7.061622999797013,2.4797378223786278e-14,0.6642765733212888,0.820662768031189,0.011027006334293137,0.5143399810066477,0.061115519859623386,0.3698924731182796,0.056816536832786695,0.42271721282216035,0.02362403070760595,0.7727865477007549,0.0691405107913639,0.46516617747400163,0.06076858952996626,7.439213467135884e-14,True
2,XGBoost,4.8497250520806015,3.322737415245332,7.07845072946928,2.7463785987429674e-16,0.6895889792231256,0.8167641325536062,0.026297734041387983,0.49159118597383333,0.08255603321584182,0.4670250896057348,0.05781396449443764,0.4786113426569109,0.06911680885185233,0.7539718854063397,0.07401361114999257,0.4455336915092351,0.04010181878007685,1.6478271592457805e-15,True
3,LogisticRegression,3.695796186225577,2.5517349050773754,5.352793279169156,4.626765902873662e-12,0.6800662451068955,0.7758284600389863,0.03646839558259204,0.40483635605586826,0.0811825976762902,0.5207885304659498,0.09033253628924168,0.4553990610328638,0.0859060420326655,0.7110223224499134,0.09596895087020899,0.36629563449793084,0.08771471701349547,5.552119083448394e-12,True
4,ANN,3.42043499515828,2.364364545253528,4.948211382880855,6.691761546539867e-11,0.6612654320987654,0.7680311890838207,0.015348943224194571,0.3854332801701223,0.02751164068673177,0.47885304659498207,0.03852338019367571,0.42524317796056926,0.013905214346311185,0.6727242685375835,0.05777228872693338,0.33312608710394687,0.030970770728540698,6.691761546539867e-11,True
5,Ensemble (Mean),4.075058783236434,2.7906400883287863,5.950643422734317,3.525309193097899e-13,0.6786171333935561,0.8089668615984404,0.013783757917866396,0.4685746352413019,0.0322463701426681,0.4347670250896057,0.013208262202643916,0.4499269005847953,0.008787145672639832,0.7419265868476576,0.0729960397052904,0.41635032938259914,0.038111034433999214,7.050618386195798e-13,True
