,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,2.9189271166904165,2.0239183585698926,4.209722925074401,9.830314531809375e-09,0.6852981029810298,0.7738791423001948,0.007293679116518384,0.38364934074316226,0.04693601286878142,0.47634408602150535,0.1410119842321028,0.4215359852541261,0.0858915563583111,0.7544011213880809,0.031951558359465684,0.4128231594719216,0.05227199695404944,True
1,RandomForest,4.069642488945972,2.6873936891975534,6.16284471248413,3.380065017123945e-11,0.6849028906955736,0.8323586744639376,0.01987921837658006,0.550179211469534,0.08263184145805377,0.4562724014336918,0.02089332135023609,0.4955394068297294,0.031386064594549616,0.7850268544846445,0.014057698011056916,0.46511320629394665,0.0244848159741919,True
2,XGBoost,3.7663099279167094,2.633847018228553,5.385692629431619,3.6713434998174115e-13,0.7193992773261066,0.7914230019493177,0.04279629317758312,0.4489795918367347,0.07215375318230077,0.5759856630824373,0.027150389769757192,0.5023248792270532,0.055251956760594315,0.7541635345513177,0.050135353253164254,0.43043073619485755,0.056921886152437186,True
3,LogisticRegression,3.3493457705253187,2.3333922394487248,4.8076430961243695,5.57615761705884e-11,0.70556684733514,0.7933723196881092,0.027567515835732845,0.4403633816743573,0.05318157494077499,0.521505376344086,0.042333375666730184,0.4766497997048282,0.046310353297674835,0.7545819670047536,0.036925416713511156,0.43202986381111336,0.06350971020667887,True
4,ANN,2.597557729729356,1.8607829686957602,3.626057564362799,2.038244602798498e-08,0.6657256850346281,0.7524366471734893,0.009939609188290037,0.3665805340223945,0.020526332604485716,0.5218637992831541,0.027558971737263183,0.43051051051051054,0.022234230989498175,0.7165608102464657,0.05760390392144519,0.3795298240186495,0.06911995772350898,True
5,Ensemble,4.1043990018351195,2.801128689139171,6.014036852923805,4.3471520975231916e-13,0.7091425775368865,0.8167641325536062,0.02715085434148949,0.5105735105735106,0.08946566957332884,0.5222222222222223,0.050482951681510936,0.507159619691301,0.017387636000842848,0.7725552250946898,0.03689570391125536,0.43457627457959247,0.04578277798033213,True
