,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.8256860682226685,1.5094540268711294,2.208169020298963,5.548465607202025e-10,0.7718307738632942,0.8070175438596491,0.02981882756487008,0.4698327359617682,0.07937514962162931,0.5530465949820788,0.0997021553302392,0.5058896521556707,0.07992201705504312,0.7615260029124133,0.03227615912874557,0.4607401944266383,0.07203700227543026,1.109693121440405e-09,True
1,RandomForest,1.8724194308061173,1.5643379304204417,2.2411746571394717,8.001867830180341e-12,0.7733363444745559,0.8304093567251462,0.024810764252159532,0.5171236171236172,0.06766639135565354,0.5304659498207885,0.15416353525166,0.5188277725591158,0.11111519317493736,0.7719553115229161,0.051053661834856046,0.4888517177344882,0.11672827454573428,4.8011206981082046e-11,True
2,XGBoost,1.6779935450793204,1.4402978412623504,1.9549167239326521,3.105958222964434e-11,0.7503387533875339,0.8070175438596491,0.029818827564870094,0.4592706241586005,0.07326122056668581,0.5623655913978495,0.1896805890550263,0.49711068107294515,0.12267890559042859,0.7623336347426944,0.05208143509072935,0.48792205094490865,0.13226894094435543,9.317874668893303e-11,True
3,LogisticRegression,1.7061463885592971,1.4206951123213354,2.048951582889328,1.0719265596902394e-08,0.7575278530563083,0.7933723196881092,0.015348943224194571,0.4312166328295361,0.05438800197544863,0.5415770609318996,0.1298371945957696,0.4783138173302108,0.0852643604930205,0.7477648498581924,0.03310806238930252,0.42983132146406167,0.07491604127946065,1.6078898395353593e-08,True
4,ANN,1.5475654484817793,1.2963200316482515,1.8475058310172503,1.3563972808880706e-06,0.6961758506473954,0.783625730994152,0.02188103734955523,0.38882413882413885,0.07172197227455801,0.42186379928315415,0.1549689151203838,0.40004920452681647,0.11202874399973337,0.7288904504072656,0.04460132182096265,0.376006658132344,0.046205652741271475,1.6276767370656845e-06,True
5,Ensemble (Mean),1.3971347549266522,1.2160813479388208,1.6051438719395257,2.327733758793462e-06,0.7544414333032219,0.8148148148148148,0.01987921837658006,0.4847319347319347,0.07242087000730228,0.4982078853046594,0.14083786884866306,0.483317384370016,0.08573725970499244,0.7650746442098536,0.051029702548514,0.44729750354054154,0.09049534014532504,2.327733758793462e-06,True
