,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,3.926269645859274,2.567099417253674,6.005062845788719,2.8150386839046187e-10,0.6284063535079796,0.820662768031189,0.019297261085012996,0.5625,0.13501543121683043,0.3039426523297491,0.10860155907902867,0.36665427969775793,0.05739432235563973,0.7833591165437426,0.02100400047002441,0.47144820063430687,0.03372946444577033,2.8150386839046187e-10,True
1,RandomForest,5.237411887196397,3.621073282462673,7.575235610114688,1.4476355429557808e-18,0.7225609756097561,0.8284600389863548,0.009939609188290021,0.52389486260454,0.023335752669802413,0.543010752688172,0.04985816395427799,0.5310564864709694,0.014515959829619037,0.7814469828196664,0.03700320503453282,0.45950673810356996,0.04216738143805253,4.342906628867342e-18,True
2,XGBoost,5.408370264823597,3.665491501437474,7.9799581884058615,1.8161034547224286e-17,0.6827950918398072,0.8284600389863548,0.011027006334293137,0.5312791783380019,0.04576116061565958,0.4150537634408602,0.13077673802589912,0.4545940170940171,0.0774148867271337,0.7783791439247857,0.03961823757737448,0.4622619029319412,0.06006063394283063,2.724155182083643e-17,True
3,LogisticRegression,5.889568439893643,4.057701453775514,8.548439751750708,1.0767426641940878e-20,0.7359981933152665,0.8265107212475633,0.014587358233036809,0.5144570707070707,0.03428687131300026,0.5333333333333333,0.06150688019817244,0.5233758348512446,0.04731846649196888,0.7487128367704896,0.04103095659277038,0.42398763218106184,0.048942977338774105,6.460455985164527e-20,True
4,ANN,3.9872290106543713,2.706790288263077,5.873375285975862,2.583860202213333e-12,0.6805555555555556,0.7836257309941521,0.025266045607827914,0.40246212121212127,0.06944587923219357,0.4236559139784946,0.06793793117819918,0.41269841269841273,0.06857926664981862,0.7158377909235837,0.04879272842797173,0.3725525113641837,0.062067076392810144,3.1006322426559993e-12,True
5,Ensemble (Mean),5.126120862599173,3.551020909883158,7.399876194713567,2.6493171193449614e-18,0.7334575429087624,0.8011695906432749,0.004774833806594889,0.4582222630756503,0.015086120591178342,0.6089605734767025,0.09378223699889139,0.5202421722113503,0.04191890886378933,0.7744675403906701,0.045236043851462744,0.4558057448077846,0.05155810730085612,5.298634238689923e-18,True
