,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,5.625660799815735,3.8200919280845884,8.284632943493563,2.197379728195373e-18,0.685204004817826,0.8382066276803117,0.014587358233036809,0.560566448801743,0.06378570047196427,0.4007168458781362,0.13222260600334304,0.45985635272595266,0.10224495217469799,0.7947950597916281,0.01049738348641345,0.4774964542807611,0.0548547643207959,1.3184278369172237e-17,True
1,RandomForest,4.851337555675845,3.281031372807166,7.173194463841574,2.4851657194930315e-15,0.66088903944595,0.8421052631578947,0.012633022803913973,0.6067632850241546,0.09124170332620703,0.3913978494623656,0.027031838903175343,0.47085751324198144,0.012814871788836243,0.7918543212297502,0.027818486589431222,0.515228964288348,0.0933891173797608,4.970331438986063e-15,True
2,XGBoost,4.571551077535519,3.0325044764889633,6.8916894984152295,3.949077832412341e-13,0.6418247515808492,0.8382066276803118,0.018077229036053986,0.5813492063492064,0.10548578969063363,0.33584229390681003,0.07712175644056911,0.4241443108233118,0.08570506957015354,0.7787112389377318,0.049201253400442624,0.4927033292390955,0.10458496278996791,4.738893398894809e-13,True
3,LogisticRegression,4.174951366031245,2.8871915134501527,6.037084421842629,3.0899649912127344e-14,0.6997704004817826,0.7992202729044834,0.015348943224194554,0.45123503947033355,0.017312272097564085,0.5089605734767024,0.14056395377152384,0.46730769230769226,0.0599761622600824,0.7390918862778849,0.015121599305432155,0.4108219948915464,0.023135104773700343,4.6349474868191017e-14,True
4,ANN,2.6976726331438035,1.834496571443246,3.9669944053848374,4.5600025656962895e-07,0.633205359831376,0.7582846003898635,0.007293679116518423,0.33609262103885756,0.028155968830157127,0.3684587813620072,0.08919475644498015,0.34883312272432443,0.05334654983857311,0.7313854299441123,0.02709516644214173,0.3732029619709172,0.039975531891647084,4.5600025656962895e-07,True
5,Ensemble (Mean),4.624423041953589,3.182915471534822,6.718773609353554,9.380917049611574e-16,0.6983024691358025,0.8167641325536062,0.014587358233036809,0.4767703560807009,0.0529848054993651,0.47634408602150535,0.15507001838647524,0.4709401709401709,0.10367630582636532,0.7845099192731313,0.02372027330441073,0.476833225803951,0.07087169363581418,2.8142751148834724e-15,True
