,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,3.0619075611031707,2.1001170647871272,4.464169197963766,5.9909806167956824e-09,0.6845076784101174,0.7894736842105262,0.020813018035148744,0.4212962962962963,0.055940027655530425,0.48888888888888893,0.09351473597914207,0.45197314762532154,0.07202962146783615,0.7596837743714889,0.050201478980497954,0.42998572813019065,0.05637363987699391,True
1,RandomForest,2.9046045914513052,2.0542810243153538,4.106900532507123,1.6023758340610803e-09,0.685693315266486,0.7621832358674464,0.06340528642218551,0.41444911297852477,0.07504350878265689,0.5666666666666667,0.15144885504453282,0.45883887801696016,0.06407825854917656,0.7822310103023898,0.040274065529995635,0.42878049789612577,0.0472934783965828,True
2,XGBoost,2.451332832622077,1.7651416486569147,3.4042778724660487,8.733311572401725e-08,0.672387834989461,0.7309941520467836,0.045549011483617605,0.3541666666666667,0.04101045767714485,0.5767025089605734,0.21448011902701736,0.41928127863178255,0.0819506751909082,0.7685671797888682,0.0559341997969316,0.4369393160256007,0.058289615662667146,True
3,LogisticRegression,3.0539345638469486,2.156997754985665,4.323841459130787,3.1136896524941364e-10,0.6980578139114725,0.7758284600389863,0.046375739779221534,0.4150927397986221,0.0790366026403677,0.5318996415770609,0.06073338947663121,0.4637950859356088,0.06939286959685578,0.7474904947108104,0.06451415246670694,0.40042394609656884,0.06505501623738476,True
4,ANN,2.582026572165614,1.783234989727553,3.7386330224419217,5.09196894209165e-07,0.6451934658235471,0.7719298245614036,0.03604920469572503,0.38837052062204186,0.07473212966270103,0.4240143369175627,0.02715038976975717,0.40364827856025043,0.05254865989674642,0.7134797166025718,0.026979057274298255,0.36357745236897837,0.04370685582597065,True
5,Ensemble,3.042609448715339,2.143263825903451,4.3193339735062946,4.839165003019429e-10,0.6915085817524842,0.7797270955165692,0.03519584811943038,0.41853182278714196,0.05438936097463418,0.5663082437275985,0.19755575311140744,0.4648275034409304,0.10211165369310586,0.778733390710055,0.047147008425770014,0.4429244146368623,0.04688152641230784,True
