,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,5.092030061631984,3.1782283978101464,8.158246325666585,1.3043558001112608e-11,0.6246424269798253,0.8245614035087719,0.009549667613189776,0.49792960662525876,0.055804687254424654,0.24982078853046596,0.13220803125460184,0.31918601216846826,0.13210564366129943,0.7911692504348647,0.02303025515892057,0.46666359617493386,0.0635052789559835,1.3043558001112608e-11,True
1,RandomForest,4.573689242542353,3.0471943037037317,6.864883299998939,2.1753169617187268e-13,0.6534929238181271,0.8245614035087719,0.016540509501439708,0.48946608946608944,0.09032405260383747,0.3498207885304659,0.16714657080188872,0.3951159951159951,0.14764080993246995,0.7740575510307837,0.051043330775622016,0.4616044097384783,0.07551818622573077,4.039084462203427e-13,True
2,XGBoost,3.98217788755096,2.749110874767089,5.768316175841155,2.6927229748022846e-13,0.6767163504968383,0.7953216374269005,0.02981882756487008,0.4442776109442776,0.06614227681535774,0.4860215053763441,0.26497905117275145,0.42661064425770306,0.13673886873517518,0.7560948241112962,0.06232449725838057,0.42519853600431484,0.05700955500485707,4.039084462203427e-13,True
3,LogisticRegression,3.5990217322662907,2.4898415593913956,5.202321963206047,9.585614205463946e-12,0.697850797952424,0.7719298245614036,0.026585149506795067,0.39938271604938275,0.032299939387533644,0.5326164874551971,0.17120164638677718,0.4450568588499623,0.07137223952886015,0.7521975647576197,0.07379616376097195,0.4956698895100611,0.12111801881212139,1.1502737046556734e-11,True
4,ANN,4.619191812063712,3.0778484900340457,6.932418234921116,1.4980290526297033e-13,0.6489950316169828,0.8265107212475633,0.03454199833658741,0.5404545454545454,0.1276849385251479,0.35842293906810035,0.0681946150194998,0.4281710223055588,0.08458497486100877,0.7315290533204054,0.06215134539502799,0.43041296989889827,0.08108580721018827,4.039084462203427e-13,True
5,Ensemble (Mean),4.523666746181254,3.0997268638399658,6.601730323153594,5.044757005169819e-15,0.6759823848238482,0.8167641325536062,0.03708829939657005,0.5134920634920634,0.08572163401775962,0.4652329749103942,0.14102382720363008,0.4685036508408498,0.09018121045334372,0.7765610644471318,0.06238306277450599,0.475038879806492,0.10251184836315451,3.026854203101892e-14,True
