,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,3.9912024401954316,2.6655952332102646,5.976037441902725,1.8128746058702678e-11,0.7068465823547124,0.8187134502923975,0.024810764252159587,0.5003968253968254,0.05920815776632586,0.5100358422939067,0.0756077027202128,0.5016667504229694,0.054168577887477184,0.7828378236065264,0.022242057992590217,0.48699525675455213,0.08082032728042898,True
1,RandomForest,4.774677282360187,3.0030066923899588,7.591572542431772,3.903867339177011e-11,0.695874736525143,0.8401559454191032,0.035837770586452676,0.5832125603864734,0.14272490862697987,0.43405017921146954,0.15249706181550007,0.4857142857142857,0.1231429621717908,0.7892362359417954,0.04957366709414252,0.4845803261852599,0.10501086073581373,True
2,XGBoost,3.280627557941281,2.3406318989238377,4.598124625607342,5.313108455006287e-12,0.7186464920204758,0.7738791423001948,0.0644749918461646,0.43847454760696764,0.10906222483899679,0.5756272401433692,0.19979048904760421,0.4740197488256159,0.08398867775046191,0.7782497739429791,0.06315984871562152,0.4739763746138981,0.09835748162188832,True
3,LogisticRegression,3.057186504062452,2.126829367383773,4.394517709767499,1.5795278602244536e-09,0.696213489912677,0.7836257309941521,0.03604920469572498,0.4310205621580834,0.06291966066259982,0.5100358422939067,0.14242430578803073,0.4532746823069404,0.04810119232702072,0.7499633224753334,0.05085608874666201,0.4832362501429152,0.10921679497787727,True
4,ANN,3.192200247684575,2.1876350891849112,4.658063162222452,1.7425489260272012e-09,0.6710328214393255,0.7875243664717347,0.031067012574092084,0.40997525865946916,0.07395212710740683,0.45483870967741935,0.1431279332355701,0.4271911663216011,0.10352426950898902,0.7107488751620529,0.026519945407122096,0.3695788126262161,0.04008164859156206,True
5,Ensemble,4.322981291633027,3.0049503243302484,6.219126850948666,3.034450932130891e-15,0.7232573020174646,0.8070175438596491,0.03443181624299355,0.46518177163338453,0.07536367507112829,0.5853046594982079,0.1415829589080447,0.5165057264765327,0.1010191981887457,0.7851613992657231,0.04396862088095064,0.4447171387410642,0.07961999868834205,True
