,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.3781170432994245,1.176179672495759,1.614724883828662,7.270841330980955e-05,0.6554501656127673,0.682261208576998,0.06621944542480711,0.2905242905242905,0.05783218226143007,0.4774193548387096,0.07597213648454063,0.3539344815940561,0.039650550817802555,0.6602296703017362,0.05487342566834889,0.32467898452862104,0.048965298106839125,0.00021812523992942865,True
1,RandomForest,1.0995170725142334,0.8857898643673671,1.3648133054826674,0.38964167381517556,0.6444783197831978,0.7348927875243665,0.012016401565241645,0.28623051784816494,0.049996095296837954,0.3469534050179211,0.14340859673088097,0.30866459397438745,0.08608423393802739,0.6394980626277813,0.037441970512665304,0.2721914693958004,0.037653455306365484,0.38964167381517556,False
2,XGBoost,1.1362428023557312,0.9811654245997196,1.3158308207119165,0.088008292653727,0.5865326708822644,0.7368421052631579,0.046046829672583674,0.3169753086419753,0.060179645202448465,0.38136200716845875,0.11016594179261724,0.3373737373737373,0.06933738303729502,0.6032397874882433,0.05391171242418999,0.2534269533619515,0.027339240085889924,0.11012742141874479,False
3,LogisticRegression,1.4231624342392215,1.2253832129451852,1.6528636044896656,3.793840077660302e-06,0.6290650406504065,0.7543859649122807,0.026585149506795015,0.3333418645918646,0.06808316444527149,0.3702508960573477,0.07953274989609059,0.3502527047303167,0.07159944192882918,0.6233283582631558,0.03285262743969087,0.3419053110899298,0.04607384644680183,2.2763040465961815e-05,True
4,ANN,1.2778403225156771,1.0876380975323476,1.5013044261245236,0.0028672491882864317,0.61694519722975,0.709551656920078,0.07417659879314015,0.29108324625566,0.06442559691643596,0.3695340501792115,0.09220739237775756,0.31481826280496017,0.04531628823058698,0.600869547849644,0.053898878728361986,0.26439172024243557,0.056841337626920764,0.005734498376572863,True
5,Ensemble (Mean),1.1217057132653068,0.9815198725989295,1.2819136344539084,0.09177285118228733,0.5625188196326407,0.7426900584795323,0.019099335226379553,0.28399259017107986,0.06458809649259067,0.30465949820788535,0.10728766700427073,0.29108074206113427,0.08525059926328059,0.612918477846412,0.047122646981927294,0.25746077193420636,0.028686029046220436,0.11012742141874479,False
