,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,3.9000010042903592,2.543477542785274,5.980004768121468,4.3618881842957945e-10,0.6679464016862391,0.8050682261208576,0.007293679116518423,0.44900793650793647,0.019296081216530474,0.43261648745519715,0.1683893702802555,0.4261741799210433,0.09944822139397103,0.7390530298903669,0.07495444662040307,0.40842914055284263,0.05094889910193551,8.723776368591589e-10,True
1,RandomForest,4.6059424669136355,2.8387114646517313,7.473357638734587,6.208308394950699e-10,0.6746085516410719,0.8245614035087719,0.026585149506795067,0.48752436647173486,0.08673960166723968,0.4010752688172043,0.19773839799907855,0.4298082869511441,0.14981056213240582,0.7744820661430132,0.08493912722585811,0.4542801808287318,0.0967353628403448,9.312462592426048e-10,True
2,XGBoost,4.048237143544226,2.4623200281212623,6.655602758052228,3.542157056880975e-08,0.6527777777777778,0.8245614035087719,0.014324501419784667,0.5685227561657767,0.07881941880924602,0.3594982078853047,0.21708065136772886,0.376650742331387,0.1835848967645631,0.7519237543259506,0.06408583856350654,0.4247826699932718,0.008650525519746613,4.25058846825717e-08,True
3,LogisticRegression,4.437128344044052,2.9353161677292112,6.7073210572577,1.5740695410824462e-12,0.715917645287564,0.8187134502923975,0.028649002839569334,0.49001528442317915,0.07059800341026175,0.5541218637992832,0.11943177259371936,0.5194386933517369,0.09220822191332255,0.7495624117106615,0.072166867128393,0.4242033029902739,0.07011591444182261,9.444417246494677e-12,True
4,ANN,2.5932763765878653,1.7223204193354942,3.904663899858633,5.025961465168554e-06,0.6250188196326407,0.7641325536062378,0.014587358233036809,0.35440545808966856,0.008709371905980947,0.3795698924731183,0.05626441054602638,0.3640480076560544,0.026406387041194527,0.7026251665922221,0.02067953345691037,0.34428151527866274,0.019649093324771928,5.025961465168554e-06,True
5,Ensemble (Mean),4.254987594881723,2.7119751083987778,6.675916521699558,2.9511718064954684e-10,0.6684545317675399,0.8109161793372319,0.019297261085012996,0.47673160173160173,0.04873936303074128,0.4347670250896057,0.013208262202643916,0.45321981586105875,0.020026085902580763,0.7538763785846833,0.07199372879706344,0.4200550960634201,0.05287972361463488,8.723776368591589e-10,True
