,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,2.8350842027852776,1.9565023921701918,4.108199647007358,3.6609929792140437e-08,0.6843383017163505,0.797270955165692,0.01987921837658006,0.4367542419266557,0.056904719194801605,0.478494623655914,0.0934308989085095,0.45555555555555555,0.07299334046521076,0.7385153954817647,0.03607353252912297,0.3887686144236521,0.06197201058460408,True
1,RandomForest,3.5379280940675586,2.3778906712503,5.26388170412018,4.579290751304391e-10,0.6915462210177657,0.8011695906432749,0.017215908121496752,0.44252873563218387,0.04943865096001511,0.4562724014336918,0.09360124298137379,0.44821935520139417,0.06987004180697332,0.7679620006318703,0.02979649054012749,0.3989149259830052,0.030561023938123107,True
2,XGBoost,2.865736002664129,2.030915087338342,4.043715509410277,2.064563955001724e-09,0.675342517314062,0.7660818713450293,0.0703376941624511,0.40816885964912286,0.10701397683334885,0.5336917562724014,0.17302660885377322,0.44674123286519213,0.11875326048355749,0.7579590228526399,0.055798293794277844,0.4027249072491654,0.059584338043102314,True
3,LogisticRegression,2.610433833818367,1.7603806781221452,3.8709609151202216,1.812255565979772e-06,0.6607761216501054,0.7894736842105262,0.017215908121496752,0.4103320390282756,0.04655004918240975,0.4017921146953405,0.058239040340755804,0.4056646993828658,0.05146276335282177,0.7005383606962193,0.0197935033570337,0.35392015538877547,0.025254579983752738,True
4,ANN,1.9056904501893897,1.300505115401248,2.7924965837774156,0.0009404158061995493,0.6002710027100271,0.7621832358674464,0.041717221362636815,0.3388007054673721,0.11398838890530989,0.33584229390681003,0.10722658185770802,0.33671486216783886,0.11022127628244013,0.6955966997490676,0.05009291191241114,0.3413614152079798,0.11415857476052259,True
5,Ensemble,2.9759715991778015,2.0243517444510615,4.37493483204642,2.9016817232510632e-08,0.6668172237277928,0.7933723196881092,0.04060948665886871,0.44489538239538245,0.09223937715405062,0.45770609318996414,0.12014281314830144,0.43929765292093403,0.0828073509068219,0.7623857458792257,0.0573995414513313,0.39362542898389224,0.06837697739045809,True
