,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,3.84651545733196,2.60757098764293,5.674124015648757,1.1054994973266125e-11,0.6721996386630533,0.8148148148148149,0.009939609188290021,0.48095238095238096,0.03749527559053243,0.4021505376344086,0.14487027779010145,0.42345292000464413,0.09591383406264845,0.770357024835405,0.06423453391183571,0.43597506870681596,0.04129397569160379,1.3265993967919348e-11,True
1,RandomForest,4.620439370424228,3.093695485589224,6.900633910224755,7.53141636688072e-14,0.6623381511592894,0.8265107212475633,0.023553695854960192,0.5138461538461538,0.08963656622129594,0.3587813620071685,0.13181098001898628,0.41471861471861465,0.12238762104038377,0.7645992889644228,0.0855786262941479,0.4491650092004735,0.06578126890669915,1.129712455032108e-13,True
2,XGBoost,4.906706443096766,3.3081825831964493,7.277641881381501,2.6070810732004856e-15,0.6792193616380608,0.8343079922027291,0.018077229036054018,0.5507246376811594,0.071735470555157,0.3806451612903226,0.09319547819363636,0.4468085106382979,0.08784237160821891,0.7570473503212006,0.07606039720307338,0.44117859844369756,0.07252274912620178,7.821243219601457e-15,True
3,LogisticRegression,4.682829685453559,3.237850545077362,6.772670188963626,2.3902553126008265e-16,0.7277175549533274,0.7758284600389863,0.023553695854960165,0.4178521238496759,0.04443441309206325,0.6627240143369176,0.13332273438429876,0.5108365558978392,0.0696827932168652,0.747319090833161,0.07943049609414413,0.415436705823708,0.05686805514136173,1.434153187560496e-15,True
4,ANN,3.28679595833418,2.2311837487718225,4.841836840048936,1.7398985176877797e-09,0.6357460102378801,0.773879142300195,0.030697886448389125,0.38248556998557,0.0686413477110177,0.41362007168458775,0.06466728608656007,0.3973810687520365,0.06696438731929741,0.7210786823690049,0.014508779807660384,0.372983763543047,0.04495341964364559,1.7398985176877797e-09,True
5,Ensemble (Mean),4.179606356905942,2.8840614073923208,6.0571211326889145,4.176792634799959e-14,0.6926942186088527,0.7992202729044835,0.012016401565241693,0.4505663452900262,0.025680023499029554,0.49032258064516127,0.07866383293837367,0.4643464834087596,0.02041315719404012,0.7580220283034285,0.06701178778596062,0.4232449388656105,0.01910994230627609,8.353585269599918e-14,True
