,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,5.014154711457595,2.959433739720692,8.49545882139103,2.058355651570622e-09,0.6878199337548931,0.8109161793372319,0.03387553059840695,0.515015015015015,0.11817112534505102,0.4114695340501792,0.10572443908006664,0.43355119825708055,0.05408160848184758,0.7809872427580046,0.06305929745872436,0.47820436548219175,0.036347764647724795,4.116711303141244e-09,True
1,RandomForest,4.233841714128102,2.650411714432324,6.763257030099012,1.5546859954737584e-09,0.6653681120144534,0.8148148148148149,0.012016401565241645,0.48404040404040405,0.0447701563693561,0.40286738351254475,0.04699579470418283,0.4374513327343516,0.0320348077240732,0.7815833433197881,0.07046663263513804,0.45958663149664386,0.0628111328529703,4.116711303141244e-09,True
2,XGBoost,3.8974272191658703,2.4268504311376278,6.25911623304056,1.821722883067432e-08,0.6588000602228244,0.8148148148148149,0.02153091816215838,0.49444444444444446,0.07737993487324508,0.3709677419354838,0.11251854589492662,0.40982717197550955,0.07487216665911382,0.7508653716958453,0.07535640751242044,0.4548665311863498,0.058436138986343485,2.1860674596809182e-08,True
3,LogisticRegression,3.553550547194668,2.338606811484817,5.399677033973056,2.8550800500819468e-09,0.6754930743751882,0.787524366471735,0.02715085434148953,0.43099939812559107,0.06616322964079871,0.456989247311828,0.04985816395427799,0.43605204210009507,0.009650507762006459,0.7496361299038033,0.061216708788512875,0.44291083587571894,0.03901605067809771,4.28262007512292e-09,True
4,ANN,2.836174579936364,1.7586806924910225,4.573818477806637,1.908015234705094e-05,0.6265432098765432,0.7816764132553606,0.027567515835732845,0.3854878048780488,0.040905258034149745,0.3354838709677419,0.10362824776909038,0.347538532321141,0.06130562320055303,0.7060485232757024,0.04770570393144943,0.33220784777437673,0.024563326494401266,1.908015234705094e-05,True
5,Ensemble (Mean),4.924983069209086,3.0500062927937797,7.952592848514536,6.974596933768954e-11,0.6939363143631436,0.820662768031189,0.012016401565241693,0.5040872420932391,0.04387849454027565,0.43512544802867387,0.022303009585812248,0.46557857292320565,0.017831631956802423,0.7669833280677482,0.06759350239815354,0.4549474171743175,0.03578063101575584,4.1847581602613725e-10,True
