,Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
0,ANN,0.8323243860651056,0.0273089065116961,0.5187373737373738,0.11224813091353587,0.4228070175438597,0.20274441387237171,0.4498198198198198,0.16479703669434426,0.7646813111209395,0.053509104194488406,0.46231833997864236,0.09557155703017675
6,SVM,0.7719779173805443,0.04428887033069789,0.4067383478590375,0.08395773103133068,0.5964912280701755,0.15573572646436595,0.4808440960557422,0.10552220222552312,0.794086113977755,0.06735260776709114,0.4602550966392373,0.07526801852873226
12,RandomForest,0.8225395012373881,0.022248860592613683,0.5131313131313131,0.09194807006482911,0.3812865497076023,0.07185133358319377,0.43378136200716844,0.07046247671536605,0.797379560011139,0.052833775500240675,0.4709208190530959,0.05952364030414744
18,XGBoost,0.8090614886731391,0.04107610835205083,0.48690799396681744,0.07794386136568683,0.4666666666666667,0.0474585814392362,0.47097439260132107,0.04591653755338442,0.7804747162022704,0.059924076584456844,0.4765665000646253,0.08580017851893001
24,LogisticRegression,0.7464686845612031,0.05127091605095578,0.3903555866791161,0.06457213925125302,0.7046783625730995,0.10607226401881314,0.5009298537314152,0.07825915215224874,0.7782774747325831,0.04391409646346758,0.4671053406684439,0.06844824353946191
30,Ensemble,0.8558347610889016,0.03376871016094907,0.7357142857142857,0.16707433136046507,0.3467836257309941,0.20427361819528228,0.4286010186757216,0.2134617336481314,0.8222033023735811,0.06457867174183712,0.5666563090346864,0.130720321926215
