,Dataset,Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
0,tidied_integrated_df_0,Deep,0.8459927660384542,0.01681290211307461,0.6893373293373293,0.08670087222694693,0.28479532163742693,0.12077970192678911,0.38351933890938583,0.12238313138526775,0.7487430995790127,0.030441525975747213,0.43509795963365416,0.03517917772006898
1,tidied_integrated_df_0,SVM,0.7737102608033505,0.03674296152697268,0.41566985737900286,0.06575738301120572,0.5976608187134503,0.05653491947886292,0.4887818918669982,0.060901528346039104,0.7914202991137975,0.049133293542929724,0.4699855489218904,0.08380897273406575
2,tidied_integrated_df_0,RandomForest,0.8361888444698267,0.02462327193699434,0.5782790309106097,0.11891977482290761,0.4473684210526316,0.07341452550397763,0.4943454818454819,0.053320816924108706,0.7929256965944271,0.05012029305774853,0.4720972192954213,0.07519586150647585
3,tidied_integrated_df_0,XGBoost,0.8323053493241955,0.03186811836576653,0.5364396284829722,0.0882505879961525,0.4812865497076023,0.1352332068892313,0.5003818960261791,0.1120181553094778,0.7840992186348223,0.033183310536452744,0.48880380285250524,0.05035636982597049
4,tidied_integrated_df_0,LogisticRegression,0.7561203122025508,0.057253212706773346,0.39953145326659756,0.07323297554007421,0.62046783625731,0.07167978220371725,0.4821198685471345,0.06845289409949502,0.7380809048765704,0.04669898037056341,0.4011070723047152,0.06688603127700014
5,tidied_integrated_df_0,NaiveBayes,0.7484294688749286,0.0404306496562336,0.3835573918110069,0.05599049966334401,0.6421052631578947,0.07823153921960535,0.4795533307662687,0.06427399363342114,0.7535351450521729,0.03827660409567117,0.44661167765841825,0.061923256286312296
6,tidied_integrated_df_0,Ensemble,0.8263278126784694,0.03956005153656388,0.5292734247849337,0.10534173106905029,0.5754385964912281,0.06573161848572406,0.5468327796234773,0.07557157721228784,0.7866514325028257,0.03825860144651937,0.4798906397035158,0.06285344638988546
7,tidied_integrated_df_1,Deep,0.8459356558157243,0.02960281155356434,0.7046428571428571,0.23417135710798606,0.28479532163742693,0.17923380355078855,0.3749315782256958,0.16728760099473491,0.6858020869166379,0.06434882076585118,0.4354858569143145,0.09741855188934033
8,tidied_integrated_df_1,SVM,0.7756900818579859,0.03125155716063088,0.4120821377114283,0.060255121682928674,0.532748538011696,0.03933373501941578,0.4618866005593695,0.04350704792028356,0.7492726915327534,0.03128454838120938,0.4511830007568219,0.09648619428157267
9,tidied_integrated_df_1,RandomForest,0.8244241385874738,0.04474377700048634,0.5550125313283208,0.15448967970887456,0.3695906432748538,0.08552019271328927,0.4334013734013734,0.09704607120190312,0.7824062197978606,0.05563798935766605,0.48646680656882796,0.09078255291240594
10,tidied_integrated_df_1,XGBoost,0.8186179326099371,0.03359219438816752,0.530185518143184,0.11757398556284776,0.42631578947368426,0.10240432346127501,0.45381080330865126,0.06773566059234637,0.7541070814290628,0.04248539505860073,0.4705033166996115,0.04942614383532453
11,tidied_integrated_df_1,LogisticRegression,0.7717114030078049,0.06434141318742276,0.4305,0.08243785538209979,0.6327485380116958,0.10742739401466296,0.5033411844446327,0.07287969971887666,0.7340539256638327,0.048065534092201365,0.4379056734343399,0.09016417089372229
12,tidied_integrated_df_1,NaiveBayes,0.3431562916428707,0.03246969389526487,0.18664132518355572,0.01618037167930552,0.7947368421052632,0.09099911290014451,0.3021072206004795,0.027134155645859522,0.665251363703376,0.06273970892265796,0.3884646061910193,0.07247635531136443
13,tidied_integrated_df_1,Ensemble,0.8224633542737483,0.04451632674956095,0.5253295985060691,0.11033776084734269,0.5444444444444445,0.09701964120416603,0.5268335686940337,0.08065178296246249,0.7720238504758629,0.06576356040083861,0.4912757745238553,0.11127000246066929
14,tidied_integrated_df_2,Deep,0.8459927660384542,0.02082039920187005,0.7201298701298702,0.14625309041145598,0.2953216374269006,0.1868967788295707,0.36996954287833045,0.19469410163666392,0.7127865415171917,0.06838871190702067,0.42371499615963576,0.09164610184189889
15,tidied_integrated_df_2,SVM,0.7444507900247477,0.05446881650433234,0.36658008658008656,0.08429335139727615,0.5216374269005848,0.05380752568607461,0.42876057192703004,0.07672616743166935,0.7329339689092012,0.032162380103267864,0.41946458352990224,0.09624952895622461
16,tidied_integrated_df_2,RandomForest,0.8321911288787358,0.03848568035751341,0.5725,0.16661665916441584,0.3906432748538012,0.08904649001782368,0.45724471606824546,0.10271181001317889,0.7663797975330484,0.05838422246764479,0.44352618491898055,0.0769590563824764
17,tidied_integrated_df_2,XGBoost,0.8069864839139539,0.02518945700628071,0.4594462426118772,0.0675985444068364,0.3929824561403509,0.07946763808335941,0.4201201201201202,0.07034401665259746,0.765931659213393,0.056534020391703625,0.4478535831676993,0.07849471415214619
