,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,3.891956295504018,2.683111444949399,5.645432221843109,8.010140361326076e-13,0.7238218909966877,0.8128654970760234,0.025266045607827914,0.4731341097194756,0.07616802921350178,0.5630824372759856,0.13950988469070605,0.5127450980392158,0.10331243355014964,0.7982667146016493,0.048236675671260956,0.4958451034583773,0.1097501239547437,True
1,RandomForest,3.8743598933580867,2.7107642141414483,5.537429078100713,1.0651777693791372e-13,0.7299006323396567,0.8050682261208576,0.0279779728935815,0.4680451127819549,0.07193790179339725,0.5641577060931899,0.12590393347727685,0.5058806265187122,0.07580854447668056,0.7779511789463746,0.05148456888562657,0.47866203280986347,0.11111796711609401,True
2,XGBoost,3.7326576322609943,2.589884728481392,5.379673020368696,1.631642285574819e-12,0.7135275519421861,0.8089668615984406,0.05237828008789242,0.4905982905982906,0.11400568889253379,0.543010752688172,0.09707241981326767,0.509197235513025,0.09732800325345721,0.7647087768227095,0.040892722360395095,0.48649785278179736,0.09388492547862264,True
3,LogisticRegression,3.7200962610639285,2.5411731078426683,5.445955707964561,1.4177651140677885e-11,0.708032219211081,0.8109161793372319,0.01987921837658006,0.47088122605363986,0.06616493277744033,0.5200716845878136,0.12689488217177422,0.4909379952066848,0.08601153640673417,0.7606628100794196,0.05267014179402303,0.44987971106183205,0.09867086247203853,True
4,ANN,2.177407341404444,1.459865985180692,3.2476287402608044,0.0001362980460214453,0.6014190003011142,0.7758284600389863,0.021530918162158425,0.3601021711366539,0.06882350451086397,0.3146953405017921,0.05209847257521611,0.33546937185160447,0.05905942275375875,0.7004867942754011,0.06961323281989955,0.3539026829791452,0.06755766114306726,True
5,Ensemble,3.1603073132260264,2.1069084498474653,4.740377928975973,2.6605694703789973e-08,0.6501994881059922,0.8011695906432749,0.009549667613189776,0.4414900153609831,0.03628887829439338,0.4017921146953405,0.036202491173380535,0.4198315588749404,0.03015740903399701,0.770470961205347,0.05334644052412718,0.43605023464204873,0.08007040023755585,True
