,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.4707051978141514,1.0175344208346513,2.1257008456808206,0.04012571182917018,0.5897320084311954,0.6159844054580897,0.3076095038905487,0.44138123085491515,0.1929403589837513,0.45483870967741935,0.39729400341235444,0.27676910548197675,0.12222879296732382,0.5192885649646116,0.27966902916559977,0.33714485525157806,0.1693754484637962,0.04012571182917018,True
1,RandomForest,4.3217641615205045,2.9509680437224657,6.329328271627883,5.519582396744412e-14,0.6792758205359831,0.8109161793372319,0.016768665237899834,0.47956691093945986,0.05459543623466418,0.42437275985663075,0.03267748048757415,0.4462020169160703,0.006428026992473688,0.7725741085727359,0.06344047905883331,0.4547440374424317,0.05126700492259414,8.279373595116619e-14,True
2,XGBoost,5.431758357220124,3.7154065334491295,7.940988041446212,2.4684681765920324e-18,0.7174232158988256,0.8245614035087719,0.012633022803913973,0.5066209859423009,0.03244922373488822,0.4989247311827956,0.14911772751277177,0.49499797712310123,0.08312299399967026,0.7332131327326934,0.06155283737968083,0.4206344447369619,0.030843085290087488,7.405404529776098e-18,True
3,LogisticRegression,4.450210269578044,3.0469918342498383,6.499647035757046,1.120210621642318e-14,0.6884974405299609,0.7738791423001948,0.026297734041387973,0.40287185581303225,0.02939706999039511,0.4989247311827956,0.12646185314399272,0.43647490820073437,0.037689889612263675,0.7403999302763887,0.05427388931214374,0.4246366117495907,0.03554196082155807,2.240421243284636e-14,True
4,ANN,4.447296025026346,3.0012490962677254,6.590070100749414,1.027698845062447e-13,0.6862014453477868,0.773879142300195,0.05259546808277599,0.425420555819227,0.11295551965588368,0.49964157706093193,0.05760694079674393,0.44896563229896563,0.05721664767664642,0.6974819608313089,0.06301975688183903,0.3882687958829138,0.0770736187274796,1.2332386140749364e-13,True
5,Ensemble (Mean),5.913745016977753,4.014887485475331,8.71067501949902,2.367328415238656e-19,0.7105352303523035,0.8050682261208576,0.01676866523789988,0.4583333333333333,0.04249182927993986,0.4777777777777778,0.09739479753040914,0.46431320161405587,0.057876810085333553,0.7576242042611293,0.059545822906131717,0.4675026346529056,0.050574388943053585,1.4203970491431935e-18,True
