,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.990625635834248,1.7529408415440348,2.260538592135348,2.626154585274015e-26,0.7755570611261668,0.8109161793372319,0.011027006334293137,0.4676923076923077,0.03258731254424052,0.3913978494623656,0.027031838903175343,0.42615629984051034,0.02954420794588717,0.7784886317830724,0.032241211353939,0.43736272934815906,0.04927707615098313,True
1,RandomForest,1.7790200862680712,1.4774979352080895,2.1420757294659176,1.2046792095867263e-09,0.7662978018669075,0.8148148148148149,0.031792410195516756,0.5019534972365162,0.09618216815403789,0.5211469534050179,0.18835185128252235,0.49117549117549114,0.09118252064127107,0.7907656160916284,0.048569451299420786,0.47483038629687097,0.10022571274258414,True
2,XGBoost,1.4685471862721466,1.2550211330032515,1.7184020106076188,1.638861109117164e-06,0.7288843721770552,0.797270955165692,0.04686477692074581,0.46429324417939216,0.0788002103418832,0.6078853046594982,0.07452439523077865,0.5221180934019086,0.06685936056237211,0.7758053621814774,0.0569623524386905,0.4709125447512416,0.09342267302861362,True
3,LogisticRegression,1.7226993536700328,1.4551217284423685,2.039480962401619,2.699613105122007e-10,0.7700240891297802,0.7797270955165692,0.022564984215965377,0.4202226345083488,0.04466197817146835,0.6200716845878137,0.09789605938170368,0.5004998148833765,0.06343264863861944,0.7617816561536532,0.05724981874304465,0.45674125798897586,0.10547687466207904,True
4,ANN,1.250476410103822,1.0544990989757457,1.4828758542752511,0.010166198187009177,0.6103395061728395,0.594541910331384,0.24701786382321214,0.281068044788975,0.12027906379680212,0.42258064516129035,0.09059099901000235,0.3126830362499152,0.10424293312798978,0.5498364037142349,0.20487531677946424,0.2950690009139305,0.1292469914434188,True
5,Ensemble,1.8623853103309138,1.575604882610176,2.2013634778729725,3.128003288720737e-13,0.7226362541403192,0.8343079922027291,0.015348943224194554,0.5390681003584229,0.03903026677517143,0.5329749103942653,0.03551463132162027,0.53597156119631,0.037035371623932084,0.7958834017859412,0.036321649118480556,0.4740064696835051,0.07399845047252926,True
