,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,1.7835535907596656,1.5241074781717054,2.0871647548948773,5.428532546044518e-13,0.7905186690755797,0.8109161793372319,0.01987921837658006,0.4709104938271605,0.04905235271279626,0.5100358422939067,0.11849551266289375,0.48679601978341785,0.07616533385275898,0.7910507747673156,0.07094292304408814,0.44065139817332827,0.057231125888773396,1.6285597638133556e-12,True
1,RandomForest,1.887506612076189,1.6122113946696426,2.2098102162101143,2.8397556346706204e-15,0.7868112014453478,0.8323586744639376,0.029174716466073617,0.532258064516129,0.08224225021923845,0.5100358422939067,0.09583910370190178,0.5203533026113671,0.08840409259919983,0.7914183670875503,0.07561451739570932,0.4721528467460054,0.08164837168447492,1.7038533808023723e-14,True
2,XGBoost,1.3215692876345928,1.101081840825338,1.5862085062722013,0.0027538548763054766,0.6063685636856369,0.8304093567251462,0.016540509501439708,0.5216049382716049,0.04429845708150411,0.5100358422939067,0.11849551266289375,0.513048791132059,0.08048068802193055,0.7697559310462537,0.08054058552114951,0.4841139350468579,0.051276692739606514,0.0027538548763054766,True
3,LogisticRegression,1.684810473597766,1.3996583262673306,2.0280566182996913,3.508953911933946e-08,0.754102679915688,0.7953216374269007,0.012633022803913973,0.43993993993993996,0.032913378703878345,0.521505376344086,0.042333375666730184,0.4772394710937293,0.03699520431308569,0.742112334905746,0.03730225547255673,0.4205212191762999,0.04600443416342096,5.263430867900919e-08,True
4,ANN,1.6170976616383852,1.3957736337343463,1.8735164385359353,1.5506723408148658e-10,0.7194745558566696,0.7855750487329435,0.023553695854960165,0.3988095238095238,0.07482026839271746,0.43333333333333335,0.13185970253982307,0.41400728207324905,0.10087974075239005,0.7318700453566617,0.06466398267945675,0.3756114400860066,0.04733620175274352,3.1013446816297315e-10,True
5,Ensemble (Mean),1.9254228804471036,1.5146298050728755,2.4476299463622726,8.755432547739512e-08,0.7872628726287263,0.8401559454191032,0.026297734041387983,0.5462962962962963,0.06547285010986549,0.5204301075268818,0.15682713680434007,0.5290506531669139,0.11148329318156765,0.7957993339942551,0.08051715300300895,0.48825953456658194,0.06325147832266118,1.0506519057287413e-07,True
