,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.7998661413476496,1.558055810507871,2.079205446250163,1.4154596779563446e-15,0.7753312255344775,0.7972709551656919,0.02450254403504197,0.43205128205128207,0.07718615980469279,0.43548387096774194,0.1028555186543494,0.43164169738803043,0.0867673849292322,0.7825680077567517,0.06544099752829258,0.4020274707209581,0.08588898206999321,True
1,RandomForest,1.5900183850736715,1.3249660178876224,1.9080930610604638,6.21974103858703e-07,0.7232384823848238,0.8070175438596491,0.041351273753599246,0.46254789272030655,0.12077636306323201,0.4559139784946236,0.11252882109205271,0.458904753510782,0.11629755282793726,0.7549467449604718,0.07173561786587335,0.39758226295479754,0.07993430059881373,True
2,XGBoost,1.5370314099268563,1.2539185373811697,1.8840662169615814,3.497128770940817e-05,0.7327612165010539,0.7368421052631579,0.0172159081214968,0.3424771244972196,0.04996164222791547,0.5655913978494623,0.2121088689193626,0.41911008442647746,0.10339760618783514,0.7503725855476028,0.059953457709458285,0.3949916853021134,0.029206584567719823,True
3,LogisticRegression,1.5037506228427215,1.2983575518760793,1.741635755445352,5.1952087052551266e-08,0.7592592592592593,0.8011695906432749,0.024810764252159532,0.454083115373438,0.053934786690433084,0.456989247311828,0.03314201076865041,0.4532361118160235,0.03274007979633452,0.7537759693216111,0.03437116632350324,0.39284389361923483,0.03658361579126313,True
4,ANN,1.5530529626127074,1.3129678293110019,1.8370393019803264,2.778268278007419e-07,0.7177431496537188,0.787524366471735,0.02450254403504197,0.42602010043870503,0.05563906917401818,0.5229390681003584,0.08748897637790899,0.4676336287939833,0.06088322852493229,0.7542279017913884,0.05630686210455854,0.4294111619510752,0.09871929974750125,True
5,Ensemble,1.7883287772324676,1.456280578278982,2.1960876655083044,2.9093805834005623e-08,0.764867509786209,0.8011695906432749,0.026585149506795015,0.44088319088319095,0.08071406588779526,0.5010752688172043,0.14911772751277172,0.466416045708489,0.11190629296064561,0.775103949915206,0.0662746813951347,0.4218439679701542,0.05585875792247807,True
