,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,3.0152533083124156,2.0663127200408082,4.399988648915355,1.0408160712189116e-08,0.676735170129479,0.7953216374269005,0.04702665918836188,0.43913308913308907,0.12704219931628888,0.45770609318996414,0.12014281314830144,0.44614390696923206,0.11910545411327444,0.7456237539628067,0.04021322938614935,0.44306584075770816,0.08865845312082532,True
1,RandomForest,4.300888779995237,2.91570714649402,6.344136557106339,1.8989669455060417e-13,0.7376166817223728,0.8226120857699805,0.016768665237899834,0.490901427743533,0.05083085397254191,0.5555555555555555,0.21259043191880883,0.507426027755957,0.13257298680403734,0.7796396160843656,0.05151480023231151,0.493417602515892,0.11671287114260773,True
2,XGBoost,3.0064339396158406,2.121461958766947,4.260573702923025,6.093421963235009e-10,0.6993751881963264,0.7738791423001948,0.055751850472027666,0.4241363211951447,0.11413969116705021,0.5211469534050179,0.21420141723345537,0.4428845897772451,0.09759420954310737,0.7702265654221728,0.061255527755330885,0.44832018639130117,0.09274690698579685,True
3,LogisticRegression,3.181965930757107,2.23318610299638,4.533839419345228,1.480516102926898e-10,0.7119090635350798,0.7914230019493177,0.03888876675099418,0.43472052223582214,0.08423082486973638,0.5437275985663083,0.11962845492635717,0.4822145515080298,0.09617669843189723,0.7307791613556884,0.05564112864384173,0.4241493755266775,0.1034655790536317,True
4,ANN,2.2083384912718276,1.4936648737763618,3.2649618918218613,7.15168709622149e-05,0.6310411020776875,0.7602339181286549,0.020813018035148744,0.3376026272577997,0.06903272977824242,0.3702508960573477,0.10240990777918446,0.3525252525252525,0.08486050900851808,0.7053117044880942,0.05993406866602284,0.4000456420219489,0.10731596266846011,True
5,Ensemble,4.112242003264176,2.806798031846947,6.024848992174397,3.980399957167664e-13,0.7322530864197531,0.8148148148148149,0.038298016967618906,0.4777777777777777,0.10999438818457406,0.5440860215053763,0.18856180831641267,0.5025824749962681,0.13593667995646477,0.7734512824423599,0.05329240617188778,0.48379513951950487,0.11760326853559101,True
