,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,1.9853266656185042,1.685637932184889,2.3382969105986886,2.1419001339420426e-16,0.8027702499247215,0.7972709551656919,0.007293679116518384,0.4451388888888889,0.02153897558232058,0.521505376344086,0.042333375666730184,0.47925939475235246,0.02154131180665973,0.8021247544239994,0.01249965213605806,0.4940535072004824,0.04470950144219647,True
1,RandomForest,1.677350205869399,1.4389518186905759,1.9552452532360403,3.7747008861583194e-11,0.7423215898825655,0.8089668615984404,0.023553695854960165,0.4626626626626627,0.06700638193922986,0.4982078853046594,0.1279323892299265,0.4770798414345386,0.09538691029099215,0.7908625754885192,0.04640826082665437,0.4923348139228403,0.1143364671382483,True
2,XGBoost,1.7866438013037031,1.484943420822727,2.1496415472640553,7.767947793476295e-10,0.7434131285757302,0.8128654970760234,0.04079619792681551,0.4888958726168029,0.09117460737787077,0.5541218637992832,0.11943177259371936,0.5138517795967221,0.09447100697136027,0.7738805184241011,0.04324430948873657,0.5150654726302242,0.11350168798934204,True
3,LogisticRegression,1.8335368588328906,1.5685889346190058,2.1432367260166503,2.6703342057683122e-14,0.7795468232460102,0.7465886939571149,0.023553695854960192,0.37142711049752003,0.0336106437747599,0.5967741935483871,0.08635687314090867,0.45662471561394513,0.047508567282576415,0.777671376641864,0.03427425366899569,0.4853843313279167,0.06377345297494638,True
4,ANN,1.6464235351797438,1.4033243074299182,1.9316350773957771,9.539913873629804e-10,0.7295618789521229,0.7972709551656919,0.019297261085012996,0.436026936026936,0.055987505549885144,0.4129032258064516,0.027874153541539177,0.4231072518623658,0.038785076392426926,0.7498196990990403,0.03452177044952505,0.39020022136414506,0.04194484187452154,True
5,Ensemble,1.8950594006592605,1.5879190757369785,2.2616077776887207,1.3849646024768258e-12,0.7863218909966877,0.8343079922027291,0.013783757917866396,0.5438378825475599,0.05101789003306038,0.4774193548387096,0.05474375080153915,0.5073256618248129,0.048152398211850966,0.7949521194888387,0.04704779081241278,0.47639195012037416,0.08512773899056365,True
