,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,4.273851657704998,2.855763986913465,6.396119593835764,1.651554656137218e-12,0.647094248720265,0.8362573099415204,0.008270254750719828,0.5811728395061729,0.04546370679870569,0.3580645161290323,0.06678795764847112,0.4360968451944241,0.034602125549444106,0.7769774088236683,0.062017740388271146,0.46726145871912445,0.02789277569344985,1.9818655873646612e-12,True
1,RandomForest,4.738002797130601,3.211934429580444,6.989143457872439,4.395045970139595e-15,0.676829268292683,0.8148148148148149,0.02153091816215838,0.47567287784679085,0.07397492639435106,0.4132616487455197,0.09327126313124567,0.4413273589194104,0.08548136027379552,0.7727286262632864,0.07825876900636329,0.4515962959594247,0.06701038878629174,8.79009194027919e-15,True
2,XGBoost,4.683452839254468,3.2271754628572333,6.7968819018289315,4.446573677897286e-16,0.7120972598614875,0.8187134502923977,0.00827025475071988,0.49610864154906276,0.034680367729992265,0.4992831541218638,0.20296931213430394,0.47702086049543674,0.10144553648169503,0.7621536969855432,0.07389367024398664,0.4701198073585549,0.06120368688542778,1.3339721033691858e-15,True
3,LogisticRegression,4.6964050395346,3.255418941317629,6.7752325255067625,1.3120469008978757e-16,0.7217705510388437,0.8050682261208578,0.030697886448389125,0.4633594633594633,0.07503039914005497,0.5655913978494623,0.10812735561270136,0.5079656862745098,0.08648609999368927,0.7590604380240619,0.056641528419536756,0.4663366709160055,0.06329264110544114,7.872281405387255e-16,True
4,ANN,3.085003953618303,2.0958874096483395,4.540916344088073,1.1185709983997607e-08,0.6370069256248118,0.7816764132553606,0.01676866523789988,0.38753501400560225,0.049675089298149254,0.39247311827956993,0.08568482500273777,0.3890924562378439,0.06688682891751833,0.7213272543059777,0.029582297874725955,0.37069300558468826,0.04202845997023064,1.1185709983997607e-08,True
5,Ensemble (Mean),4.224883765098929,2.9025675628447836,6.149604597352494,5.3329171142896343e-14,0.6751731406202951,0.8187134502923975,0.016540509501439708,0.4976072314781992,0.05632289374086303,0.4566308243727599,0.027277846007799922,0.47533671633933405,0.036816879304314494,0.772085498578292,0.05917434530068136,0.4615042488977408,0.038698197001942755,7.999375671434452e-14,True
