,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,Sig
0,SVM,4.0355036927846015,2.675260835818362,6.087365327686445,2.8973774222296203e-11,0.7158988256549232,0.8167641325536062,0.014587358233036809,0.48029036004645764,0.041022715160558124,0.4992831541218638,0.15218335786787693,0.4840813720124065,0.09262909755716951,0.7628647325627421,0.07380197784537705,0.4607085356584965,0.04823142143512125,True
1,RandomForest,4.224439415505256,2.779777489416183,6.419898154878014,1.5004029309268633e-11,0.7030073772959952,0.8187134502923975,0.023874169032974443,0.4919732487400266,0.06851987637022823,0.4670250896057348,0.0825291680457274,0.4789285040558385,0.07548793951518229,0.7848000711761864,0.07517239263271243,0.46484742466000695,0.06499698973476704,True
2,XGBoost,3.6140334105732994,2.5407031202086507,5.140796415311775,8.920177572889516e-13,0.7205284552845529,0.7777777777777778,0.048459270544468046,0.43538784067085956,0.07719796085020789,0.596057347670251,0.13958169213375057,0.48922841864018335,0.061496646085504925,0.7465942557912358,0.06668505889150118,0.4447746394319167,0.05013131292246466,True
3,LogisticRegression,3.159457762531579,2.272350509162243,4.39288451010193,7.856247985093435e-12,0.707298253538091,0.7543859649122807,0.016540509501439708,0.3775881144302197,0.03581561306661817,0.5863799283154122,0.13693069801317528,0.45582522053110286,0.0633804946525235,0.728087357874592,0.08002378250519432,0.3933395255211794,0.0552598412120364,True
4,ANN,2.5928164434663143,1.8324018059624332,3.668789829629284,7.465877285858799e-08,0.6530600722673894,0.7446393762183235,0.015348943224194571,0.3371392225558892,0.03019597418969777,0.45555555555555555,0.1341584290656448,0.3829854522454143,0.06324952559693181,0.6645144948851195,0.060513778626409435,0.35520638417825623,0.04440522749087405,True
5,Ensemble,4.5956740402974745,3.0456820842815002,6.934479469693743,3.7023841501822767e-13,0.7266824751580849,0.8265107212475633,0.011027006334293137,0.5065562456866805,0.02785856851889497,0.5089605734767024,0.21149990669436455,0.4926237161531279,0.1122825554885692,0.7588046032109176,0.07915083218875521,0.44131565834939224,0.05601754954310977,True
