,ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Change
1,ENSG00000008513.14,1041.11296820561,0.156765824014519,0.0654345344246523,2.39576586573004,0.0165856810149641,0.0199436614632004,ST3GAL1,NS
2,ENSG00000064225.12,1212.70906505351,-0.520567026238081,0.0795050951736417,-6.54759327186699,5.84717028715835e-11,1.06146559483972e-10,ST3GAL6,NS
3,ENSG00000070731.9,167.779329465385,0.194745164230162,0.115119981149829,1.69167126579617,0.0907086700408696,0.102848409133376,ST6GALNAC2,NS
4,ENSG00000101638.13,1273.51166085287,0.808036863652349,0.155290437073343,5.20339100643213,1.95684540552118e-07,3.0801278360909e-07,ST8SIA5,NS
5,ENSG00000110080.18,1264.52875635594,0.449099034140966,0.0612694735048815,7.32989869914885,2.30326765046311e-13,4.60025447757086e-13,ST3GAL4,NS
6,ENSG00000111728.10,2171.8938644402,-0.820343919483846,0.0619471767859182,-13.2426360981527,4.97707366252914e-40,2.54665236205458e-39,ST8SIA1,NS
7,ENSG00000111846.15,546.798736154398,-0.149334769083443,0.0983285210816755,-1.51873299263191,0.128829718421143,0.14394899560754,GCNT2,NS
8,ENSG00000115525.16,3611.50360982331,-0.501077232256582,0.0667343201456678,-7.5085388022659,5.97909653686236e-14,1.22594792819409e-13,ST3GAL5,NS
9,ENSG00000117069.14,269.946799326707,-0.238423452943268,0.176348328745005,-1.35200290606679,0.176374385631118,0.194540197952076,ST6GALNAC5,NS
10,ENSG00000118276.11,738.382228662658,-0.867248880787915,0.0929867534051717,-9.32658522885562,1.09336751556921e-20,2.83581396348721e-20,B4GALT6,NS
11,ENSG00000126091.19,1307.86304014061,0.286012538513355,0.0450862047829675,6.34368183993617,2.24337892996027e-10,3.9791744590577e-10,ST3GAL3,NS
12,ENSG00000128242.12,635.098227843677,-1.15474252679356,0.117912385911868,-9.79322501078603,1.20393317262792e-22,3.3642541905237e-22,GAL3ST1,Down
13,ENSG00000128274.15,252.522650739238,0.0306476105276308,0.086961039567489,0.35242921059891,0.724516398576369,0.74184344210915,A4GALT,NS
14,ENSG00000135454.13,2975.66650401698,0.554219348719561,0.11504352847278,4.8174752293928,1.45386133010203e-06,2.19095206505495e-06,B4GALNT1,NS
15,ENSG00000136840.18,938.804905376172,0.333271059129772,0.040214944814853,8.28724397519706,1.1590273555022e-16,2.62296766791426e-16,ST6GALNAC4,NS
16,ENSG00000148154.9,1618.279761007,1.06270607501131,0.0596141077770193,17.8264191923539,4.40762334068217e-71,6.53590307091178e-70,UGCG,Up
17,ENSG00000157350.12,1941.15071300657,0.101329259255837,0.0339344757487787,2.98602695400366,0.00282627730586174,0.00358427400832431,ST3GAL2,NS
18,ENSG00000158470.5,5491.60819340637,0.500123247714568,0.0514084080314655,9.72843289386549,2.2807949775011e-22,6.30554642741878e-22,B4GALT5,NS
19,ENSG00000160408.14,4674.97059168586,-0.351956191958934,0.0539700215670387,-6.52132761373372,6.96877830472222e-11,1.26139192827223e-10,ST6GALNAC6,NS
20,ENSG00000169255.13,1816.76002884435,0.698443734949137,0.0643654072877788,10.8512283908402,1.96762971410241e-27,6.49793078531597e-27,B3GALNT1,NS
21,ENSG00000170340.10,585.354216757567,0.397317351536014,0.0551609853298393,7.20286900533456,5.89586102581238e-13,1.15971914365395e-12,B3GNT2,NS
22,ENSG00000171124.12,26.3226011655532,-1.40700849867751,0.165447292510704,-8.50427031670211,1.8274129568975e-17,4.26306278239722e-17,FUT3,Down
23,ENSG00000172318.5,444.911448307031,0.423538756717016,0.0963732053364314,4.3947771088289,1.10886470417772e-05,1.60088682529226e-05,B3GALT1,NS
24,ENSG00000172461.10,2899.39177353125,-2.10887284007574,0.10148235955158,-20.7806839473798,6.47299289132355e-96,2.09712698602312e-94,FUT9,Down
25,ENSG00000174607.10,4815.27544711673,-1.36763309242598,0.119128642209744,-11.4803045435376,1.65695853975151e-30,6.134844869692e-30,UGT8,Down
26,ENSG00000174951.10,66.7016067295787,-0.399711498177298,0.0899211651940815,-4.44513254821131,8.78376940370622e-06,1.27521975740625e-05,FUT1,NS
27,ENSG00000175164.13,44.0529147557045,-0.833680230517374,0.0971983423310569,-8.57710337978672,9.72921684443328e-18,2.28762645087867e-17,ABO,NS
28,ENSG00000176597.11,747.599121791609,1.51246871516277,0.107914123747015,14.0154843744873,1.25340182400784e-44,7.51821135032256e-44,B3GNT5,Up
29,ENSG00000176920.11,39.0721641462077,-0.104791741115958,0.0608387615206153,-1.72245026849287,0.0849879842577435,0.0966524472443744,FUT2,NS
30,ENSG00000183778.17,247.944813568786,-0.0404104044973298,0.0959807995674848,-0.421025920594847,0.673736154274362,0.693484292905974,B3GALT5,NS
31,ENSG00000184005.10,564.692168229617,-0.177002279093889,0.0766489346412434,-2.30925948184865,0.0209291866110335,0.0249761861518228,ST6GALNAC3,NS
32,ENSG00000235863.3,309.242824995763,0.203270377962015,0.0683347931295322,2.97462491145184,0.00293346996860965,0.00371584942039819,B3GALT4,NS
