,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,5.019318849699323,3.4382080039856002,7.327526922670862,6.407560280777655e-17,0.7033837699488106,0.8304093567251462,0.031310679150504915,0.5233622777482426,0.09349431753890544,0.45555555555555555,0.1579104248137952,0.48073830409356716,0.12423770890725619,0.7931797961310659,0.06445473588465252,0.49545992828780383,0.04182250789010238,7.689072336933185e-17,True
1,RandomForest,5.920500546796782,4.0821793797640575,8.58666987991276,6.898211301583354e-21,0.7318014152363745,0.8089668615984404,0.0506072319132443,0.4878867102396514,0.09755209898444547,0.5741935483870968,0.12935443648879627,0.5188315628068085,0.09812276008644705,0.7790914505053147,0.08069976520901487,0.46367294245380003,0.06349139371730589,4.138926780950013e-20,True
2,XGBoost,5.32432923120156,3.643004819263366,7.781620713847862,5.7613743126550046e-18,0.6939927732610659,0.820662768031189,0.031792410195516714,0.5141763837416011,0.08589029246285523,0.4666666666666666,0.04894540506125178,0.4851367226798035,0.0541382137493336,0.7586771397341061,0.0779418560833693,0.43835324860717306,0.04742279874010257,9.707179984144192e-18,True
3,LogisticRegression,5.234873346177108,3.613631064876609,7.583480011801161,2.0631102709206338e-18,0.7278116531165312,0.8148148148148149,0.04171722136263685,0.4798117956012693,0.10093994952218541,0.5308243727598566,0.15675913152256127,0.5013701132626963,0.12499218221730511,0.7758275139538009,0.07474452523819337,0.46382157849095035,0.11011776731281725,6.1893308127619014e-18,True
4,ANN,3.8737494042611624,2.6581485520046866,5.645258025815275,1.8150626680735125e-12,0.6698283649503162,0.7719298245614036,0.004774833806594889,0.38998583116230173,0.028768950067521382,0.5096774193548388,0.14164192516193644,0.4371234939759036,0.06698492592159044,0.7483362566409925,0.0640665943933889,0.43169527167587657,0.05804408148422734,1.8150626680735125e-12,True
5,Ensemble (Mean),5.028526983288509,3.4835609271017285,7.2586884945624535,6.471453322762794e-18,0.7372967479674797,0.8089668615984404,0.03250162183339777,0.4678884711779448,0.07526657597373439,0.5752688172043011,0.14204134208196673,0.5143850538693407,0.10123055679179822,0.7877555170623118,0.0750095128853617,0.4800360338276266,0.050264353761581934,9.707179984144192e-18,True
