,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,4.557847008891282,2.9475212892009117,7.0479454830642245,9.07052616407184e-12,0.6285945498343872,0.8323586744639376,0.0027567515835733108,0.6168582375478927,0.07043975598026907,0.27419354838709675,0.16182706390637003,0.3415635974958009,0.12288039369809939,0.7564252849771037,0.06139961985705364,0.4661515713668394,0.030550031922155173,1.0884631396886208e-11,True
1,RandomForest,4.638198901162807,3.1955272855905617,6.732187562207623,6.945073746468818e-16,0.7108363444745559,0.7972709551656919,0.026297734041388004,0.442365835222978,0.057723621144662285,0.5089605734767025,0.19080762228252565,0.4600721880792118,0.09895804193120429,0.7566685913288521,0.07323077256344254,0.4188125205139772,0.056830659284753865,1.3890147492937636e-15,True
2,XGBoost,4.3280342878085705,2.999414418397502,6.24517928618031,4.843175870941879e-15,0.7173102981029811,0.7894736842105262,0.0642388189211855,0.452682632507194,0.10814334653199059,0.5637992831541219,0.11334215187217428,0.49531900716308513,0.10257639920600024,0.74377635062261,0.08670020897884802,0.4606143995928414,0.06941916782327719,7.26476380641282e-15,True
3,LogisticRegression,4.7367614173345025,3.25918236343615,6.884213960060084,3.533168268452792e-16,0.7143367961457392,0.7836257309941521,0.023874169032974443,0.4136394770541112,0.059222998573271374,0.5218637992831541,0.10566609762115142,0.46098667837798274,0.07837536327580209,0.7304398034665707,0.05243270915356998,0.3929363353177946,0.055086504708207105,1.3890147492937636e-15,True
4,ANN,3.0981492085525626,2.119145118757229,4.529434267382273,5.357883846801788e-09,0.6542457091237579,0.7894736842105264,0.016540509501439708,0.40932539682539676,0.05432958521542402,0.42437275985663075,0.09691480558526509,0.41560207188683274,0.07565477107568146,0.7560512468542667,0.0513279039545921,0.44893441643244847,0.06995526698595883,5.357883846801788e-09,True
5,Ensemble (Mean),4.706969748436622,3.2375314135451134,6.84335111622502,4.947520370599263e-16,0.7138286660644384,0.8128654970760234,0.029044180167156618,0.47923197492163006,0.07459769492871997,0.489247311827957,0.07938076914103981,0.4839756524078558,0.07611409176716583,0.7648678338108675,0.06716461670723409,0.44706096401502565,0.031194377713060724,1.3890147492937636e-15,True
