,Model,HR,CI_lower,CI_upper,p,cindex,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,FDR,Sig
0,SVM,4.2415531600149,2.7145836198201696,6.6274522095673,2.2147622214546901e-10,0.7090484793736826,0.8128654970760234,0.01263302280391394,0.47173352099460475,0.03623733805738218,0.478494623655914,0.22439394359902373,0.4500470809792843,0.13248318199096074,0.7675803364890531,0.07757352458816014,0.48350693353045665,0.12782433642035385,3.3221433321820355e-10,True
1,RandomForest,5.422706340416341,3.0085125701379845,9.774180219909436,1.8634711137992224e-08,0.6685862691960253,0.8401559454191032,0.026297734041388014,0.6012971496842465,0.11444540140125604,0.35663082437275984,0.20740582450436285,0.41398739094591636,0.1650703594118472,0.7859416137384567,0.049961298264014825,0.4787254863516656,0.09214170801338617,2.2361653365590667e-08,True
2,XGBoost,4.495835522424858,2.9087296569781516,6.948922529189523,1.3245654050939414e-11,0.6927694971394158,0.8187134502923977,0.039083699134041756,0.5396241830065359,0.14877919813296006,0.4451612903225806,0.20010403121639775,0.45206561223799097,0.10919943980534377,0.7808209228936752,0.06481261509616426,0.45079675433282146,0.09298153477704896,4.1054689883334766e-11,True
3,LogisticRegression,3.735351405837027,2.5493051468228916,5.473197330840366,1.3684896627778254e-11,0.7069218608852755,0.7816764132553606,0.04782785242255476,0.4274497869750456,0.10150811701600711,0.5652329749103943,0.14486584385889123,0.4810080886044867,0.10118052415748756,0.7535266710970211,0.07085942687774023,0.4541651134520735,0.1175482523982681,4.1054689883334766e-11,True
4,ANN,3.429275566706428,1.987391603153373,5.917269094701989,9.529648793371632e-06,0.64257753688648,0.8089668615984406,0.036154458072108,0.43534002229654406,0.154126624603597,0.30430107526881717,0.1448942186740267,0.35293410293410293,0.15419544960560472,0.7210815875194735,0.07488215408589761,0.3498506629586871,0.08673289596428821,9.529648793371632e-06,True
5,Ensemble (Mean),4.085112795734895,2.7030932118719475,6.17372219373822,2.3961150401631164e-11,0.6942750677506775,0.8050682261208576,0.07340417303611202,0.49705494846159803,0.15202878288896698,0.5100358422939067,0.11849551266289375,0.4946053946053946,0.12599888631350212,0.7784886317830724,0.07400183416951536,0.4702818231966485,0.11824205741777649,4.792230080326233e-11,True
